id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_followup_with	log_prob_followup_without	log_prob_full_with	log_prob_full_without	include_context
244	not	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	-143.16307282447815	-145.19700837135315	-47.420697808265686	-41.40810585021973	-451.7949204444885	-447.80283629894257	True
249	not	Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-81.48589706420898	-88.66985702514648	-23.74696159362793	-22.621554493904114	-288.71218824386597	-294.75462782382965	True
272	not	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-87.67266511917114	-85.26415395736694	-23.735721111297607	-24.41919457912445	-344.63796377182007	-342.9963792562485	True
279	not	Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-83.671630859375	-95.04397583007812	-64.32054197788239	-62.63456857204437	-403.56758248806	-413.2430897951126	True
288	not	Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	-161.97901153564453	-166.9868060350418	-77.62103343009949	-77.69997668266296	-374.8459746837616	-379.98335552215576	True
302	not	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	-86.7385823726654	-96.94383502006531	-46.98523926734924	-45.582167625427246	-468.12724328041077	-476.92398250102997	True
309	not	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	-110.80499386787415	-119.54156613349915	-49.96694588661194	-47.833507657051086	-365.0582115650177	-371.67220985889435	True
319	not	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	-65.8555908203125	-64.98980712890625	-44.866395115852356	-46.828463554382324	-312.6143548488617	-313.7050243616104	True
320	not	It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	-95.65236473083496	-101.66695213317871	-74.05537378787994	-71.06284320354462	-379.36723816394806	-382.37531793117523	True
327	not	Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	-60.1307373046875	-63.3956298828125	-35.52799034118652	-32.46664655208588	-272.9239008426666	-273.1860694885254	True
333	not	Dad, what are we doing tonight for fun?__eou__We're going over to Mrs. Smith's place to help her with her yard work.	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	-112.43169939517975	-132.16346180438995	-71.51576900482178	-69.21627020835876	-344.38969933986664	-361.942405462265	True
355	not	( A stranger stops to help ) Everything OK?	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	-141.36896181106567	-138.85974550247192	-48.963013768196106	-51.4226850271225	-297.1369563341141	-297.05233132839203	True
360	not	Chinese tea is famous all over the world. I want to buy several boxes.__eou__There are various kinds of tea in China. It depends on the taste and effect.	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	-84.04772305488586	-87.31270742416382	-106.516277551651	-103.82745146751404	-388.266277551651	-388.8342134952545	True
367	not	Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	-100.81646156311035	-107.9232530593872	-46.74230682849884	-39.34249567985535	-223.89825117588043	-223.7102015018463	True
379	not	What can I do for you?__eou__I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?__eou__I'd like to. How do you like the hat?	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	-104.23994445800781	-102.32011413574219	-68.37566781044006	-63.82530128955841	-418.043549656868	-411.5334663391113	True
381	not	Has someone already helped you?	No, not yet. I'd like to buy a teapot.	No, yet. I'd like to buy a teapot.	Which do you like best?	-92.9250055551529	-101.3042608499527	-34.015434980392456	-33.88845705986023	-203.689976811409	-211.96321594715118	True
383	not	I need some flowers for my girlfriend.__eou__No problem. Would you like some artificial carnations?	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	-112.08892369270325	-110.13396763801575	-25.989116668701172	-26.34489381313324	-296.58383214473724	-295.0551292896271	True
385	not	Dad, do you know where Mom is?__eou__I think she is in her room putting a little something together for you to take to school with you.	She'd better not start crying like she usually does.	She'd better start crying like she usually does.	I know, but she is going to miss you something awful. Have I told you how proud I am of you?	-87.56797921657562	-96.57506835460663	-65.54716944694519	-66.87301552295685	-327.5829510688782	-337.9235624074936	True
388	not	Do I have to deposit my handbag at the checkroom?	No, you do not have to. The handbag can be taken with you. There is the cart at the entrance.	No, you do have to. The handbag can be taken with you. There is the cart at the entrance.	Thank you. I'd tike to buy some milk powder for my baby. Is there anything that you can recommend for me?	-138.45295548439026	-145.89049172401428	-95.55147659778595	-95.26023530960083	-329.24128127098083	-336.4368381500244	True
413	not	Can I help you, sir?__eou__I'd like a table for two, please.__eou__Do you have a reservation, sir?	No, I'm afraid not. Can I sit over there? There's a table free by the window.	No, I'm afraid. Can I sit over there? There's a table free by the window.	Sorry, sir. That table has been reserved. This way, please. How about this one, sir?	-85.00874733924866	-98.95225393772125	-65.53278386592865	-65.671923995018	-309.7892611026764	-323.8231312036514	True
420	not	Hello, Can I speak to Tom, please?	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	May I ask what time he will come back?	-78.95250296592712	-90.69444370269775	-38.89160513877869	-40.64503872394562	-200.92624759674072	-214.38033640384674	True
427	not	Jenny, you should go to bed now.__eou__But it's still early.__eou__Don't stay up late.	But Day. I'm not sleepy.	But Day. I'm sleepy.	Well, honey. Turn off the light, lie down and go to sleep.	-81.02082824707031	-86.91046142578125	-53.44793176651001	-49.21025812625885	-299.22632598876953	-300.897008061409	True
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-75.26972079277039	-89.30304598808289	-38.45935571193695	-32.67718172073364	-268.51310205459595	-276.79330599308014	True
467	not	I'm thirsty. Pull over to that store, I'll buy some drinks.	I'm afraid I can't. Parking is not allowed here.	I'm afraid I can't. Parking is allowed here.	Oh, that's too bad. Where can you park around here?	-101.1816053390503	-110.93820476531982	-32.289127469062805	-29.772478103637695	-245.34030306339264	-252.59667921066284	True
480	not	Hi Mike. What have you been up to?	Not much. I started exercising.	Much. I started exercising.	Trying to get in shape?	-92.379638671875	-98.3538818359375	-29.266101956367493	-30.423596382141113	-200.33460772037506	-207.46811532974243	True
482	not	Mike, I'm afraid I can't come back home for dinner tonight.	Not back home for dinner again? That's the third time this week!	Back home for dinner again? That's the third time this week!	I'm sorry. Our company has just opened. There are always too many things to handle. You know that.	-81.40488624572754	-83.18536376953125	-94.16918516159058	-92.32288134098053	-267.2854815721512	-267.2006924152374	True
562	not	Hello? This is Steven. I'd like to speak to Mr. Brown, please.	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	Then what time do you think he will be in?	-71.97176277637482	-85.6017656326294	-34.585843324661255	-44.58754503726959	-203.1182278394699	-226.74993240833282	True
569	not	May I help you?__eou__I'm just browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	We're on clearance sale now. Prices have up to twenty percent off. Do miss the chance.	Well, how about fifty percent discount? If so, I'll buy that fur coat.	-152.1707305908203	-159.65481567382812	-78.01555705070496	-76.5394572019577	-350.2889505624771	-356.2534177303314	True
576	not	Hi, Kerry. Did your husband make cooking for you?	Oh, please do not mention it any more. Last night he did it for the first time.	Oh, please do mention it any more. Last night he did it for the first time.	Really? Was it delicious?	-140.26970672607422	-147.90972423553467	-36.22934305667877	-31.596628069877625	-290.2597495317459	-293.2670520544052	True
588	not	I'm glad these batteries are on sale.	I'm sorry. These batteries are not on sale.	I'm sorry. These batteries are on sale.	But that's what the ad said.	-87.29614686965942	-88.0829086303711	-44.71216130256653	-46.64316284656525	-212.87458288669586	-215.6100240945816	True
609	not	Good morning. What can I do for you, sir?__eou__Good morning. I'd like to have a haircut.__eou__Very well. Please sit down here. Do you want me to cut your hair very close?	Please cut the sides shorter, but not so much at the back.	Please cut the sides shorter, but so much at the back.	It's such a hot season, isn't it? May I suggest thinning out the top?	-88.68340837955475	-100.17463684082031	-81.74944198131561	-79.78118634223938	-407.65303218364716	-417.16780388355255	True
617	not	Can you show me how to use chopsticks?__eou__With pleasure.	Oh, it is not easy to learn!	Oh, it is easy to learn!	I think you are a quick learner.	-82.09474086761475	-80.3139181137085	-47.36628997325897	-33.9507030248642	-261.14231395721436	-245.94590425491333	True
658	not	I wonder if you can help me. I'm looking for a room.__eou__Yes. I've got a small room.__eou__How much is it?	200 Yuan a week, but smoking is not allowed.	200 Yuan a week, but smoking is allowed.	OK. Can I see the room now?	-87.53940391540527	-87.9765396118164	-25.550159096717834	-25.607085347175598	-312.38619685173035	-312.83733773231506	True
669	not	Good evening. Welcome to our restaurant.__eou__Good evening. We want a dinning room with a table for eight.	I'm sorry, sir. The rooms are not available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	I'm sorry, sir. The rooms are available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	No, thanks. We have made a reservation before.	-131.59987568855286	-138.1626808643341	-49.51175558567047	-46.29312717914581	-359.954612493515	-363.3171875476837	True
677	not	The car isn't running smoothly. I'd like to have a look at it.__eou__What's the matter with it?	I'm not sure. It could be the tires. Let's stop here.	I'm sure. It could be the tires. Let's stop here.	How about the tires?	-112.51827812194824	-120.85836791992188	-26.2485454082489	-24.773467779159546	-267.90174770355225	-274.65555560588837	True
678	not	Excuse me, do you know where the Post Office is?	Yes, it's not very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Yes, it's very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Is the restaurant on the right or on the left hand side of the road?	-138.80695605278015	-146.03375959396362	-33.195295095443726	-31.58507525920868	-244.19259750843048	-249.79589128494263	True
686	not	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	-78.790283203125	-84.34933471679688	-77.47457349300385	-71.9883691072464	-283.552619099617	-283.5472649335861	True
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-63.57754564285278	-70.23184251785278	-24.803052186965942	-23.509186267852783	-329.4605242013931	-334.83853328227997	True
697	not	Hi Steve, it's nice to meet you. I hear that you're looking for an apartment, and I just rented a two-bedroom downtown. I'm looking for a compatible roommate.__eou__Great, I'm looking for a place right in that area. Your apartment sounds ideal.__eou__Alright. So tell me, how would you describe yourself?	I'm pretty social and outgoing, and I like making new friends. But I'm not a party animal, and I like to keep the apartment clean.	I'm pretty social and outgoing, and I like making new friends. But I'm a party animal, and I like to keep the apartment clean.	I'm like that too. I like to invite friends over sometimes, but I don't want to have lots of crazy parties at the apartment.	-103.92222785949707	-118.12900924682617	-73.4897084236145	-69.75511181354523	-477.65883708000183	-488.099546790123	True
698	not	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	-116.45903491973877	-119.72490310668945	-63.048771381378174	-66.69715976715088	-237.07105660438538	-243.98506999015808	True
702	not	Good coming, sir.__eou__Good morning.__eou__Would you mind moving to the middle of the bus?	Of course not. But I don't know when to get off.	Of course. But I don't know when to get off.	Where are you going?	-96.29458522796631	-96.91890048980713	-8.482120752334595	-9.28136157989502	-304.87080121040344	-306.43987715244293	True
729	not	Can I help you?	Yes, my brakes are not working well.	Yes, my brakes are working well.	What's wrong with them?	-90.17492616176605	-97.35510194301605	-31.302104473114014	-24.015016794204712	-178.19219732284546	-178.10689187049866	True
741	not	I'm looking for a string of pearls for my wife.__eou__Yes, sir. What price range do you have in mind?	I'm not sure. I don't know very much about the price of pearls.	I'm sure. I don't know very much about the price of pearls.	I see. Let me show you some samples of various qualities. This one is very nice. It's three hundred and fifty dollars.	-78.91746962070465	-91.5114756822586	-112.95195591449738	-111.49487340450287	-345.53403174877167	-356.683748960495	True
768	not	Taxi!__eou__Where will you go, sir?__eou__Friendship Hotel.	OK, it's not far from here.	OK, it's far from here.	I have something important to do, can you fast the speed?	-65.31443774700165	-67.35788714885712	-55.592461943626404	-54.02223289012909	-290.9778461456299	-291.3802617788315	True
789	not	I have learnt how to ride a bicycle. I plan to go to the Water Park by bike this weekend.	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do not hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Oh, my dear sister, I am no longer a baby!	-326.6162567138672	-332.13704681396484	-60.931886315345764	-60.16748249530792	-510.07343101501465	-514.8298516273499	True
796	not	Long Distance. May I help you?__eou__Yes. I'd like to place an overseas call to London. Can I dial direct?	No, sir. I'm afraid not.	No, sir. I'm afraid.	Oh, I see. How about the charges?	-68.06893920898438	-78.32878112792969	-37.360055923461914	-37.895039439201355	-257.26671493053436	-268.08160185813904	True
798	not	Is there anything I can dor you?__eou__Yes. I am looking for a restaurant with a cheerful atmosphere.	Why not go the youth restaurant? You will have a happy lunch there.	Why go the youth restaurant? You will have a happy lunch there.	Well, thanks for your help.	-123.0094985961914	-130.6516876220703	-38.797794818878174	-36.52948069572449	-347.72233521938324	-352.97756719589233	True
809	not	Wow, Amy, look at that number.__eou__What's so great about it?__eou__What do you mean? It's a scrim.	Not to me, I wouldn't be caught dead in that.	To me, I wouldn't be caught dead in that.	I love that kind of stuff.	-94.46472644805908	-97.12228107452393	-25.93453574180603	-23.92887592315674	-337.86733090877533	-338.4900003671646	True
818	not	Excuse me. Can I get a refund of my ticket? I have to cancel my trip because I have something emergent to deal with.__eou__Which train is the ticket for?__eou__It is Train No. 249. It will depart in four hours.	It is not too late. Pass your ticket to me, please.	It is too late. Pass your ticket to me, please.	How much is the cancellation fee?	-95.07953333854675	-95.04002070426941	-22.43048107624054	-23.501314282417297	-381.61587738990784	-382.64719796180725	True
861	not	What would you like to order, sir?__eou__I'd like to try some Chinese food.	We serve different styles of Chinese food here. But I'm not sure which one do you prefer.	We serve different styles of Chinese food here. But I'm sure which one do you prefer.	I have no idea. Could you recommend some to me?	-114.81180953979492	-121.92625045776367	-46.392284989356995	-44.77109241485596	-273.5360096693039	-279.063529253006	True
865	not	Do you take vitamin pills regularly?__eou__No, I don't, do you?	Yes. Maybe you should do it too. You may not get enough vitamins from your food, you know.	Yes. Maybe you should do it too. You may get enough vitamins from your food, you know.	But, I don't believe in taking pills to get enough vitamins.	-114.78804779052734	-123.67367553710938	-47.63492715358734	-46.58017563819885	-291.8128138780594	-299.5836582183838	True
887	not	You look so excited. What happened?	You are not going to believe this. Do you remember the dress we saw at Mayors that was so beautiful and expensive? I got it today at half price.	You are going to believe this. Do you remember the dress we saw at Mayors that was so beautiful and expensive? I got it today at half price.	So they have started the year end sale earlier this year.	-190.43963599205017	-196.18670630455017	-74.73803949356079	-73.31714129447937	-339.860657453537	-344.3403482437134	True
894	not	Do you see that small white car over there? It’s Tom’s new car.__eou__Oh, my God. It’s beautiful. But it looks expensive.__eou__It is very expensive. Tom’s father paid for it.	I want to have a car like that. But I am not rich. And I don’t have a rich daddy.	I want to have a car like that. But I am rich. And I don’t have a rich daddy.	They are By new models now, they are not very expensive. Maybe you should look for one.	-83.74402046203613	-94.19417762756348	-85.91078221797943	-83.61235070228577	-416.6547666788101	-424.85715913772583	True
901	not	Sir, here is your curried beef.	Well. I am afraid you have made a mistake. It's not the dish I ordered.	Well. I am afraid you have made a mistake. It's the dish I ordered.	Let me see, I am sorry. It's for table 11.	-105.28849029541016	-112.64282989501953	-77.55400168895721	-70.6074310541153	-272.7152065038681	-273.1389056444168	True
903	not	How do you like you dishes today?	Not so delicious as before, but it's fine. The soup is tasty but the meat is a little tough.	So delicious as before, but it's fine. The soup is tasty but the meat is a little tough.	I am sorry for that. We will improve the dishes next time.	-131.96181678771973	-158.4006748199463	-59.12605011463165	-53.485390186309814	-272.6080309152603	-293.38690757751465	True
934	not	You are an early bird, Tom. What do you do in the morning then?	Exercise. The morning hours are the most precious period within a single day. We should not pass them up easily. Seize the time and do something useful.	Exercise. The morning hours are the most precious period within a single day. We should pass them up easily. Seize the time and do something useful.	So, you choose to spend it on bodybuilding. Where do you exercise?	-193.18461799621582	-204.28279304504395	-74.45374035835266	-74.100989818573	-369.6425132751465	-380.37231278419495	True
939	not	How about going swimming?__eou__OK. Where should we go?	Why don't we go down to the pool? It's not too far from here.	Why don't we go down to the pool? It's too far from here.	Fine. I'll be ready in a minute.	-74.84097194671631	-88.61820125579834	-35.25421333312988	-39.14654231071472	-251.87057411670685	-269.54115188121796	True
949	not	What can I do for you?__eou__Do you have any blue shirts?__eou__Yes. What's your size?	I'm not familiar with American size.	I'm familiar with American size.	All right. Let me see. I think you'd wear a size 8. This shirt is size 8.	-78.87185287475586	-75.68769073486328	-80.53154277801514	-84.97259640693665	-330.3031233549118	-331.5347533226013	True
959	not	Excuse me, which way is to the post office?	The post office? Sorry, I'm not sure.	The post office? Sorry, I'm sure.	Well, thanks anyway.	-78.96844232082367	-97.59911859035492	-22.104418396949768	-20.208667159080505	-178.1158640384674	-194.8743486404419	True
969	not	Do you think I should join the basketball team, Mary?	Why not? If I were you, I certainly would.	Why? If I were you, I certainly would.	But I'm afraid it'll take up too much of my time.	-104.79495239257812	-109.98755264282227	-34.62458276748657	-38.8780255317688	-230.4010829925537	-239.7711067199707	True
987	not	Where do these flower vases come from?__eou__They are made a town nearby. The flower vases are made of porcelain and covered with tiny bamboo sticks.__eou__Are they breakable?	No. They are not only ornamental, but also useful.	No. They are only ornamental, but also useful.	No wonder it's so expensive.	-75.68078851699829	-88.4720025062561	-37.9163213968277	-38.27429234981537	-373.5621883869171	-386.67316150665283	True
995	not	Are you being served, sir?	No, not yet. I just want a haircut.	No, yet. I just want a haircut.	Will you sit here, please? How would you like it cut?	-95.60015726089478	-103.7196946144104	-47.58165109157562	-47.14859402179718	-213.22146952152252	-220.86931455135345	True
1000	not	How can I help you?	Yes, I would like to look at some of your products. I think what I am using now does not fit me well.	Yes, I would like to look at some of your products. I think what I am using now does fit me well.	We have a full range of products from cosmetics to skin cleansers.	-140.99842953681946	-149.33805584907532	-67.3590931892395	-65.84211671352386	-262.8597985506058	-269.60902869701385	True
1010	not	In 1986, a New Zealander Hackett popularized Bungee as a commercialized sport of mass entertainment. This sport is very challenging. It is a test of people's psychological ability of endurance. Especially when descending, as if they are watching a fast forward tape and when they bounce back, they sway around. The timid people will shrink back at the sight of it. Even if they jump off, they find it hard to avoid screaming with closed eyes. No wonder people give the title' brave' to anyone who jumps off.	You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth. The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.	You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth. The wind roars at their ears and their bodies rapidly descend. They do even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.	Entrusting life to the care of a rope indeed requires infinite courage.	-318.41241669654846	-327.48378586769104	-70.14046502113342	-70.0226137638092	-843.6224598884583	-852.5390095710754	True
1015	not	How can I help you?__eou__Yes, I would like to look at some of your products.__eou__Did you have anything specific in mind?	Well, to be honest, I mostly use Sarah Winter products now. But I'm not happy with them. So I would like to change companies.	Well, to be honest, I mostly use Sarah Winter products now. But I'm happy with them. So I would like to change companies.	Well, you made a good choice. Coming to us, I mean. We have a full range of products from cosmetics to skin cleansers and moisturizers.	-166.97582244873047	-173.12056350708008	-93.52171242237091	-96.67389178276062	-447.60391068458557	-456.914159655571	True
1016	not	Are you interested in mountaineering?	Yes, in some sense. I should say I like mountain climbing, you know, because I'm not so professional. How about you	Yes, in some sense. I should say I like mountain climbing, you know, because I'm so professional. How about you	I'm the same with you, an amateur mountain climber. I went climbing in the Rocky Mountains with my friends last summer vacation. We spent two days in the mountains.	-173.06549549102783	-177.9283800125122	-119.36067187786102	-101.16011893749237	-360.3219026327133	-346.9552730321884	True
1023	not	Waiter!__eou__I'll be with you in a second. Uh ... Yes, ma'am?	This is not what I asked for. I'm afraid.	This is what I asked for. I'm afraid.	Oh, I'm so sorry. May I ask what you ordered again?	-88.04757690429688	-90.7179183959961	-39.84554946422577	-37.11843967437744	-291.9291557073593	-291.82154512405396	True
1044	not	I'm going to Bihai Park.Is this the right bus, please?__eou__No, you're going the wrong way. You want a 103 from Beijing Zoo.__eou__How can I get it, please?	You get off at the next stop, cross the street, and you'll find the stop not far on the right hand side.	You get off at the next stop, cross the street, and you'll find the stop far on the right hand side.	Could I have a transfer please?	-101.44740188121796	-99.85360419750214	-23.32002294063568	-23.46022605895996	-391.2282601594925	-389.7133266925812	True
1070	not	Do you have any tables?__eou__Yes. We've got plenty of tables in stock. Will you have a look at this one?	It's a nice color, and the style is not bad, but a bit too small. I'd like to get a slightly larger one.	It's a nice color, and the style is bad, but a bit too small. I'd like to get a slightly larger one.	How about this one?	-114.57897186279297	-126.68733215332031	-12.555950164794922	-12.840824127197266	-287.98993170261383	-300.39324057102203	True
