particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	site_set_type	effect_score_mean	effect_score_ci_low	effect_score_ci_high	run_label	run_label_pretty	run_dir
not	attn	prompt_boundary	prompt_without	gold	necessity	5	localized	0.007051341806139			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	5	random_mean	0.0009619835725456			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	10	localized	0.0129290204735619			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	necessity	10	random_mean	0.0018362261833168			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	1	localized	0.0132495105570868			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	1	random_mean	0.0011246780558695			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	3	localized	0.027400110701217			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	3	random_mean	0.0034287036124837			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	5	localized	0.0322783932418973			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	5	random_mean	0.0039838626053025			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	10	localized	0.0382529167901495			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	generated	sufficiency	10	random_mean	0.0071280393218805			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	1	localized	0.0082322139512886			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	1	random_mean	0.0020160346707077			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	3	localized	0.0142539419111637			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	3	random_mean	0.0028408382264142			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	5	localized	0.0185098786218963			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	5	random_mean	0.0020639900257208			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	10	localized	0.0258789217287685			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	attn	prompt_boundary	prompt_without	gold	sufficiency	10	random_mean	0.0056479925834327			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	1	localized	0.0027076690709699			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	1	random_mean	0.0008536081156661			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	3	localized	0.0061183571768228			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	3	random_mean	0.0047416749772935			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	5	localized	0.0086048197810092			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	5	random_mean	0.0071239743749933			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	10	localized	0.0160596866994527			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	necessity	10	random_mean	0.0109402561569456			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	1	localized	0.0041822565864733			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	1	random_mean	-0.0002051099494875			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	3	localized	0.0051547833602433			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	3	random_mean	0.0005021431830036			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	5	localized	0.002091620337074			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	5	random_mean	-0.0001540940214543			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	10	localized	0.0051228601240512			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	necessity	10	random_mean	0.0008315321874568			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	1	localized	0.0026856362856652			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	1	random_mean	0.0020632308403203			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	3	localized	0.008969965295185			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	3	random_mean	0.0028618797859861			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	5	localized	0.0127081024049843			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	5	random_mean	0.0098154805472269			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	10	localized	0.0210757512116536			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	generated	sufficiency	10	random_mean	0.0146673149762077			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	1	localized	0.0048031630690744			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	1	random_mean	0.0005367538654422			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	3	localized	0.0108800006186779			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	3	random_mean	-0.000134347775211			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	5	localized	0.0085235039081052			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	5	random_mean	0.0053197406008337			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	10	localized	0.0110780055674782			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	mlp	prompt_boundary	prompt_without	gold	sufficiency	10	random_mean	0.0038954967818245			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	1	localized	0.0201527668396018			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	1	random_mean	0.0076235322819857			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	3	localized	0.0265323616465208			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	3	random_mean	0.0255321622837876			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	5	localized	0.0288070629215955			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	5	random_mean	0.0268471793446549			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	10	localized	0.0301886033521238			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	necessity	10	random_mean	0.0274016509510628			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	1	localized	0.0066473027723295			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	1	random_mean	0.0037360938964218			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	3	localized	0.0122298361377054			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	3	random_mean	0.0133315179591984			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	5	localized	0.0155828197501276			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	5	random_mean	0.0131085456684993			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	10	localized	0.016221315548667			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	necessity	10	random_mean	0.0139573564110103			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	1	localized	0.0306361700119556			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	1	random_mean	0.0152056091104742			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	3	localized	0.0374818342771426			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	3	random_mean	0.0281567135444895			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	5	localized	0.039264226440498			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	5	random_mean	0.031769542679902			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	10	localized	0.0403729134109427			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	generated	sufficiency	10	random_mean	0.0348633962534388			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	1	localized	0.0173817826278416			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	1	random_mean	0.0090432469400615			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	3	localized	0.0228224853022367			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	3	random_mean	0.0150197095515936			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	5	localized	0.0251935822080517			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	5	random_mean	0.0173576500887706			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	10	localized	0.0255352678230339			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
not	resid	prompt_boundary	prompt_without	gold	sufficiency	10	random_mean	0.0191753575252693			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not
