particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	localized	0.045554559415457	0.0425786072596498	0.0485305115712642	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	random_mean	0.0152862602858971	0.0084489391784742	0.02212358139332	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	localized	0.0559058395198207	0.0482739879670621	0.0635376910725792	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	random_mean	0.0254266890967511	0.0155991069122187	0.0352542712812836	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	localized	0.0655429777973486	0.0545892367498885	0.0764967188448086	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	random_mean	0.0142258223525769	0.009757723434249	0.0186939212709047	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	localized	0.0193146174496281	0.0179260804870724	0.0207031544121838	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	random_mean	0.0066160290354668	0.0060823066755944	0.0071497513953392	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	localized	0.0294746100610931	0.027779313725976	0.0311699063962102	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	random_mean	0.0099878559579529	0.0056399116122849	0.0143358003036209	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	localized	0.0364418506766226	0.0308302591185211	0.0420534422347241	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	random_mean	0.0148973111359102	0.009380309362107	0.0204143129097134	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	localized	0.0423570017281374	0.0312274710319103	0.0534865324243645	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	random_mean	0.0080480834072358	0.0058964435520635	0.010199723262408	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
just	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	0.0089990447412755	0.0063526543832215	0.0116454350993295	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	0.0025414761298595	0.0020865528473928	0.0029963994123263	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	0.0131763081271441	0.0107304303340883	0.0156221859201998	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	0.0058365513872444	0.0042556898408931	0.0074174129335958	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	0.0152778278944647	0.0119116917519525	0.0186439640369769	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	0.0066966488173576	0.0053380254633908	0.0080552721713244	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	0.0193845302715917	0.0151309968631755	0.023638063680008	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	0.0053277351488672	0.002575044710062	0.0080804255876724	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	0.0031179406739629	0.0003597920528426	0.0058760892950832	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0007997808009493	0.0005745144862268	0.0010250471156718	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	0.0036119314932001	0.0006878027839851	0.006536060202415	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0016022720219694	-0.0007913484818113	0.0039958925257502	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	0.0030455937706936	-0.0003467859248894	0.0064379734662767	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	0.0011673765932197	-0.0014769678906221	0.0038117210770617	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	0.0040730063782522	-0.0003957247747987	0.0085417375313033	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	0.0020132705608774	9.378230262564516e-05	0.0039327588191292	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	localized	0.0125946448994038	0.0071988357345606	0.017990454064247	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	random_mean	0.0017586517173776	0.0014192644216579	0.0020980390130974	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	localized	0.0175087173298481	0.0121592009361585	0.0228582337235376	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	random_mean	0.0090969002162031	0.0071978627555702	0.0109959376768359	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	localized	0.0203156900430845	0.0140410784575861	0.0265903016285828	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	random_mean	0.0102391973727352	0.0064147812663796	0.0140636134790909	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	localized	0.0254972776525169	0.0174184873519322	0.0335760679531016	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	random_mean	0.0074929843299585	0.0049889002698903	0.0099970683900266	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	localized	0.0046233410646927	0.0013515596253983	0.0078951225039871	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	random_mean	9.382823363003246e-05	-8.453992924295787e-05	0.000272196396503	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	localized	0.0050025589390157	0.001389916476251	0.0086152014017804	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	random_mean	0.0020489768266788	-0.0009434242421349	0.0050413778954926	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	localized	0.0045599643306135	0.0011280508717917	0.0079918777894353	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	random_mean	0.0032434104722886	0.0008116290586956	0.0056751918858816	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	localized	0.0062739053758642	0.0021272884647003	0.0104205222870281	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
just	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	random_mean	0.0029838609616978	0.0003153938906995	0.0056523280326962	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/just
only	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	0.004538973835139	0.0038215970290568	0.0052563506412212	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	0.0009294778076615	0.0004988526907483	0.0013601029245748	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	0.008249088491883	0.007445714874365	0.0090524621094011	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	0.0031251583769569	0.0028972039141654	0.0033531128397484	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	0.0096885507535464	0.0091466353494592	0.0102304661576337	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	0.0038484860057899	0.0034624225339656	0.0042345494776143	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	0.0120378897449635	0.0114964008709162	0.0125793786190108	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	0.0024999988284587	0.0023488642968902	0.0026511333600272	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	0.0028301101366394	0.0003605172837093	0.0052997029895695	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0003129915647456	7.148277891950346e-05	0.0005545003505717	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	0.0034439660592771	0.0017012640701214	0.0051866680484328	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0021646403373469	0.0021626033536542	0.0021666773210395	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	0.0034269768504487	0.0014487024769278	0.0054052512239696	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	0.0028503543625099	0.0017890261558894	0.0039116825691305	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	0.0047366045783904	0.0032317544654274	0.0062414546913534	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	0.0012602780675417	0.000616152983841	0.0019044031512425	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	localized	0.0078046112388679	0.0077902325882209	0.007818989889515	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	random_mean	0.001697768167787	0.0010510249114484	0.0023445114241255	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	localized	0.013044710434238	0.0102389961270317	0.0158504247414443	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	3	random_mean	0.0052712673965389	0.0049081990555223	0.0056343357375556	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	localized	0.014888436422621	0.0124275249810124	0.0173493478642296	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	5	random_mean	0.0063595305420007	0.004699528317534	0.0080195327664675	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	localized	0.0180873196820468	0.0156654888139416	0.0205091505501521	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	generated	10	random_mean	0.0046552380253898	0.0035489133024605	0.0057615627483191	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	localized	0.0067985180142631	0.0021116801826644	0.0114853558458619	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	1	random_mean	0.0022825788611436	0.0009623468829115	0.0036028108393758	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	localized	0.009378777891336	0.0034705249304064	0.0152870308522655	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	3	random_mean	0.0038950522118941	0.0032492480621093	0.0045408563616788	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	localized	0.0091994527974129	0.0034011425568274	0.0149977630379984	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	5	random_mean	0.0057781018218706	0.0023105770900275	0.0092456265537138	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	localized	0.0101003563869981	0.0044867387362475	0.0157139740377488	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
only	residual_stream	utterance_final	prompt_without	sufficiency	gold	10	random_mean	0.0036006576838526	0.0028977574119414	0.0043035579557639	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/only
