pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
10	11	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	21	20	You're welcome to browse. I'm here if you need any assistance or recommendations.	you're welcome to browse. i'm here if you need any assistance or recommendations.	You're welcome to browse. I'm here if you need any assistance or recommendations.	-9.751976490020752	-15.075868129730225	-0.4432716586373069	-0.6852667331695557	22	22	-9.751976490020752	-15.075868129730225	-0.4432716586373069	-0.6852667331695557	5.323891639709473	0.2419950745322487	True	True	Need a gift for your girlfriend or wife?	just	0.2419950745322487	5.323891639709473	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
11	12	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	33	32	No worries at all. Feel free to browse and take your time. If you have any questions or need help finding something, I'll be here.	no worries at all. feel free to browse and take your time. if you have any questions or need help finding something, i'll be here.	No worries at all. Feel free to browse and take your time. If you have any questions or need help finding something, I'll be here.	-11.48048448562622	-19.750593185424805	-0.3280138424464634	-0.5643026624407087	35	35	-11.48048448562622	-19.750593185424805	-0.3280138424464634	-0.5643026624407087	8.270108699798584	0.2362888199942452	True	True	Need a gift for your girlfriend or wife?	just	0.2362888199942452	8.270108699798584	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
12	13	just	discourse_particle	6	638	just	h	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?	0.1475478851	P	Yes, something just opened up.	nucleus	chat	0.9	1.0	20260416	643568008	50	50	200	51	50	That's great! What kind of job or opportunity has just opened up? I'd love to know more about it.	that's great! what kind of job or opportunity has just opened up? i'd love to know more about it.	That's great! What kind of job or opportunity has just opened up? I'd love to know more about it.	-14.972886443138124	-21.78191351890564	-0.5163064290737284	-0.75110046616916	29	29	-14.972886443138124	-21.78191351890564	-0.5163064290737284	-0.75110046616916	6.809027075767517	0.2347940370954316	True	True	What kind of apartment is it?	just	0.2347940370954316	6.809027075767517	0	"Speaker 1: Hello, do you have any vacancies?
Speaker 2: Yes, something just opened up.
Speaker 1: "	"Speaker 1: Hello, do you have any vacancies?
Speaker 2: Yes, something opened up.
Speaker 1: "	Speaker 1
13	14	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	44	44	But I'm still a little hungry, can't I just have one? Pleeease?	but i'm still a little hungry, can't i just have one? pleeease?	But I'm still a little hungry, can't I just have one? Pleeease?	-10.133584976196287	-15.736971020698547	-0.422232707341512	-0.6557071258624395	24	24	-10.133584976196287	-15.736971020698547	-0.422232707341512	-0.6557071258624395	5.603386044502258	0.2334744185209274	True	True	I know, but I'm hungry.	just	0.2334744185209274	5.603386044502258	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
14	15	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	50	49	You're welcome to browse. If you have any questions or need assistance finding something, feel free to ask.	you're welcome to browse. if you have any questions or need assistance finding something, feel free to ask.	You're welcome to browse. If you have any questions or need assistance finding something, feel free to ask.	-9.210191488265991	-15.486932873725891	-0.3411182032691108	-0.5735901064342923	27	27	-9.210191488265991	-15.486932873725891	-0.3411182032691108	-0.5735901064342923	6.2767413854599	0.2324719031651815	True	True	Need a gift for your girlfriend or wife?	just	0.2324719031651815	6.2767413854599	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
15	16	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	16	15	No worries! Feel free to browse and take your time. I'll be here if you need any assistance or have any questions.	no worries! feel free to browse and take your time. i'll be here if you need any assistance or have any questions.	No worries! Feel free to browse and take your time. I'll be here if you need any assistance or have any questions.	-10.67195475101471	-17.842703104019165	-0.3442566048714422	-0.575571067871586	31	31	-10.67195475101471	-17.842703104019165	-0.3442566048714422	-0.575571067871586	7.170748353004456	0.2313144630001437	True	True	Need a gift for your girlfriend or wife?	just	0.2313144630001437	7.170748353004456	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
16	17	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	13	12	That's perfectly fine. Feel free to browse and explore at your leisure. If you have any questions or need any assistance, don't hesitate to ask. I'm here to help.	that's perfectly fine. feel free to browse and explore at your leisure. if you have any questions or need any assistance, don't hesitate to ask. i'm here to help.	That's perfectly fine. Feel free to browse and explore at your leisure. If you have any questions or need any assistance, don't hesitate to ask. I'm here to help.	-18.463427186012268	-28.10715246200561	-0.4396054091907683	-0.6692179157620385	42	42	-18.463427186012268	-28.10715246200561	-0.4396054091907683	-0.6692179157620385	9.643725275993347	0.2296125065712702	True	True	Need a gift for your girlfriend or wife?	just	0.2296125065712702	9.643725275993347	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
17	18	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	14	14	Aw, come on Mom! Just one little cookie won't hurt. Pleeeease?	aw, come on mom! just one little cookie won't hurt. pleeeease?	Aw, come on Mom! Just one little cookie won't hurt. Pleeeease?	-10.17824649810791	-15.325179934501648	-0.4425324564394743	-0.6663121710652891	23	23	-10.17824649810791	-15.325179934501648	-0.4425324564394743	-0.6663121710652891	5.146933436393738	0.2237797146258147	True	True	I know, but I'm hungry.	just	0.2237797146258147	5.146933436393738	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
18	19	just	discourse_particle	13	12718	just	h	Hello Mr Waterstone, what can I do for you today?	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.	Oh, I see. You have two choices here you can either redeem or renew.	0.06188520231	P	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	nucleus	chat	0.9	1.0	20260416	648913278	50	50	200	43	43	A Fixed Deposit Certificate, you say? That's a type of savings certificate with a fixed interest rate and maturity date, isn't it? And you've just noticed the date on it...?	a fixed deposit certificate, you say? that's a type of savings certificate with a fixed interest rate and maturity date, isn't it? and you've just noticed the date on it...?	A Fixed Deposit Certificate, you say? That's a type of savings certificate with a fixed interest rate and maturity date, isn't it? And you've just noticed the date on it...?	-14.357317090034485	-23.919755220413208	-0.3263026611371474	-0.5436308004639365	44	44	-14.357317090034485	-23.919755220413208	-0.3263026611371474	-0.5436308004639365	9.562438130378723	0.2173281393267891	True	True	Oh, I see. You have two choices here you can either redeem or renew.	just	0.2173281393267891	9.562438130378723	1	"Speaker 1: Hello Mr Waterstone, what can I do for you today?
Speaker 2: Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.
Speaker 1: "	"Speaker 1: Hello Mr Waterstone, what can I do for you today?
Speaker 2: Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.
Speaker 1: "	Speaker 1
19	20	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	48	47	No worries at all! You're welcome to browse around. If you need any assistance or have any questions, I'll be here to help. Take your time and enjoy your search!	no worries at all! you're welcome to browse around. if you need any assistance or have any questions, i'll be here to help. take your time and enjoy your search!	No worries at all! You're welcome to browse around. If you need any assistance or have any questions, I'll be here to help. Take your time and enjoy your search!	-18.51201605796814	-27.599002599716187	-0.4407622870944795	-0.6571191095170521	42	42	-18.51201605796814	-27.599002599716187	-0.4407622870944795	-0.6571191095170521	9.086986541748049	0.2163568224225726	True	True	Need a gift for your girlfriend or wife?	just	0.2163568224225726	9.086986541748049	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
20	21	just	discourse_particle	13	12718	just	h	Hello Mr Waterstone, what can I do for you today?	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.	Oh, I see. You have two choices here you can either redeem or renew.	0.06188520231	P	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	nucleus	chat	0.9	1.0	20260416	648913278	50	50	200	11	11	A Fixed Deposit Certificate, that's an old-fashioned term. And you've just noticed the date on it? Has it come due for renewal or is there something else you're concerned about?	a fixed deposit certificate, that's an old-fashioned term. and you've just noticed the date on it? has it come due for renewal or is there something else you're concerned about?	A Fixed Deposit Certificate, that's an old-fashioned term. And you've just noticed the date on it? Has it come due for renewal or is there something else you're concerned about?	-35.05420660972595	-44.32897090911865	-0.8152141072029291	-1.0309063002120618	43	43	-35.05420660972595	-44.32897090911865	-0.8152141072029291	-1.0309063002120618	9.2747642993927	0.2156921930091326	True	True	Oh, I see. You have two choices here you can either redeem or renew.	just	0.2156921930091326	9.2747642993927	1	"Speaker 1: Hello Mr Waterstone, what can I do for you today?
Speaker 2: Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.
Speaker 1: "	"Speaker 1: Hello Mr Waterstone, what can I do for you today?
Speaker 2: Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.
Speaker 1: "	Speaker 1
21	22	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	11	10	You're welcome! Feel free to browse and let me know if you need any assistance or recommendations.	you're welcome! feel free to browse and let me know if you need any assistance or recommendations.	You're welcome! Feel free to browse and let me know if you need any assistance or recommendations.	-8.629132747650146	-14.005095839500427	-0.3451653099060058	-0.5602038335800171	25	25	-8.629132747650146	-14.005095839500427	-0.3451653099060058	-0.5602038335800171	5.375963091850281	0.2150385236740112	True	True	Need a gift for your girlfriend or wife?	just	0.2150385236740112	5.375963091850281	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
22	23	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	40	40	But I'm still a little hungry. Can't I just have one little cookie?	but i'm still a little hungry. can't i just have one little cookie?	But I'm still a little hungry. Can't I just have one little cookie?	-9.683420300483704	-14.28408133983612	-0.4401554682038047	-0.6492764245380055	22	22	-9.683420300483704	-14.28408133983612	-0.4401554682038047	-0.6492764245380055	4.600661039352417	0.2091209563342008	True	True	I know, but I'm hungry.	just	0.2091209563342008	4.600661039352417	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
23	24	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	32	32	But I'm feeling a little hungry again. Can't I just have one?	but i'm feeling a little hungry again. can't i just have one?	But I'm feeling a little hungry again. Can't I just have one?	-13.595144391059875	-17.969011425971985	-0.6473878281457084	-0.8556672107605707	21	21	-13.595144391059875	-17.969011425971985	-0.6473878281457084	-0.8556672107605707	4.373867034912109	0.2082793826148623	True	True	I know, but I'm hungry.	just	0.2082793826148623	4.373867034912109	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
