model_dir	model_label	model_order	condition	condition_label	n_items	mean_diff_per_token	sd_diff_per_token	se_diff_per_token	ci_low	ci_high	t_stat	df	p_value_two_sided	cohens_dz	analysis_metric	difference_direction	null_mean	alternative	ci_level	paired_data_path	p_value_fdr_bh	reject_fdr_bh	alpha	condition_order
gemma2	Gemma 2 9B	2	only	only	30	0.003496529354146739	0.0127612347280545	0.0023298720407245845	-0.001268594005919393	0.00826165271421287	1.500738792959345	29.0	0.14423327793090052	0.27399616327563614	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.31469078821287383	False	0.05	1
gemma2_it	Gemma 2 9B IT	3	only	only	30	0.0275255215099828	0.23285878370330818	0.04251400284917275	-0.05942537732285949	0.1144764203428251	0.6474460099096127	29.0	0.5224360812910296	0.11820692813140271	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.7624033492666595	False	0.05	1
olmo2	OLMo 2 7B	4	only	only	30	-0.0010308471341163093	0.019603258931850356	0.0035790490391963557	-0.008350824319727267	0.0062891300514946475	-0.28802263473533657	29.0	0.7753778942080269	-0.052585498038871616	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9304534730496323	False	0.05	1
olmo2_instruct	OLMo 2 7B Inst.	5	only	only	30	0.02385586312757486	0.0786751699115368	0.014364055092033475	-0.005521928127879196	0.05323365438302891	1.6608028147153016	29.0	0.10752863610006404	0.3032197217292145	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.2580687266401537	False	0.05	1
qwen3_5	Qwen3.5 9B	6	only	only	30	0.003718960343177934	0.023118223322004177	0.004220790800967902	-0.004913526116202651	0.01235144680255852	0.8811051100483612	29.0	0.3855053496720498	0.1608670481021864	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.660866313723514	False	0.05	1
qwen35_instruct	Qwen3.5 9B Chat	7	only	only	30	0.0020009065420056784	0.031556516014897874	0.005761405219210865	-0.009782490192662446	0.013784303276673803	0.3472948813483633	29.0	0.7308776817323043	0.06340708020685958	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9232139137671211	False	0.05	1
llama3	Llama 3 8B	0	not	not (control)	30	-0.0016905804548964889	0.060201411231377365	0.010991223641690081	-0.024170156850190798	0.02078899594039782	-0.15381185116496587	29.0	0.8788234665458408	-0.02808207349822636	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.9594211918905199	False	0.05	2
llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	30	0.09268560438271752	0.18459622470096942	0.03370250543300443	0.02375624125699838	0.16161496750843665	2.7501102126357555	29.0	0.010152443679373315	0.5020991330286441	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.048731729660991915	True	0.05	2
gemma2	Gemma 2 9B	2	not	not (control)	30	0.021114074265023392	0.04541371398741812	0.008291371856998929	0.0041563147691443085	0.03807183376090248	2.546511557939659	29.0	0.016450584373339787	0.4649272744103918	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.06580233749335915	False	0.05	2
gemma2_it	Gemma 2 9B IT	3	not	not (control)	30	0.15302221752452919	0.6773554154187539	0.1236676134910447	-0.09990645135916562	0.40595088640822397	1.2373669484259124	29.0	0.22587667106948484	0.22591126318806792	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.41700308505135664	False	0.05	2
olmo2	OLMo 2 7B	4	not	not (control)	30	0.04637476248831957	0.07640302537814928	0.013949220153750677	0.017845403945233786	0.07490412103140535	3.3245415856348277	29.0	0.0024091765406585638	0.6069754732720627	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.027194755129545986	True	0.05	2
olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	30	0.06794273438292867	0.22159267869620272	0.040457102899968234	-0.014801331702899309	0.15068680046875665	1.6793771553766401	29.0	0.10382270948852022	0.30661091685288133	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.2580687266401537	False	0.05	2
qwen3_5	Qwen3.5 9B	6	not	not (control)	30	0.05048774913671528	0.09008281486595122	0.016446796581881067	0.016850273249325302	0.08412522502410527	3.0697618764456593	29.0	0.00461711242234608	0.5604592752995581	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.027702674534076478	True	0.05	2
qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	30	0.06991779694938278	0.12002747372159969	0.021913918292559568	0.025098801682165883	0.11473679221659969	3.1905657407293506	29.0	0.0033993443911932483	0.5825149424668816	p_prime_mean_advantage_per_token - p_mean_advantage_per_token	p_prime_minus_p	0.0	two-sided	0.95	generation/results/figures/generation_context_delta_paired_plot_data.tsv	0.027194755129545986	True	0.05	2
