source_dataset	dataset_role	word	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_file	model_dir	model_label	model_order	condition	condition_label	generated_from_label
not	meaning_control	not	P	1500	30	50.0	7.930271002054215	3.27063512802124	0.2100823203870948	0.8786666666666667	0.8293711836048796	5.364689939876802	0.9	7.675246369838715	50.0	50	26.192	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_not_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	11.918201537768049	3.724281966686248	0.3027679247698123	0.8646666666666667	0.8561117909954821	8.200962095441884	0.7333333333333333	11.681745219230653	50.0	50	26.126	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_not_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.1522282392382621	0.0911421775817871	0.0119397291460372	0.615	0.6213597459391806	0.1173483815682923	0.625	0.154109126329422	50.0	50	26.9185	generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.0933046941757202	0.058349609375	0.0076298427119038	0.5805	0.559134402613066	0.0454452235771384	0.55	0.0582434356212615	50.0	50	26.475	generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	0.1714729834397634	0.069793701171875	0.0123221488244571	0.5913333333333334	0.5203252441810133	0.0432287601626317	0.7	0.2740207473436991	50.0	50	26.314	generation/results/gemma2/gemma-2-9b_context_only_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	0.1723769036928812	0.0825920104980468	0.0158186781786039	0.602	0.6237178620002795	0.1516744552110973	0.5333333333333333	0.0698110381762186	50.0	50	26.120666666666665	generation/results/gemma2/gemma-2-9b_context_only_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	0.8578247733910879	0.435577392578125	0.0581689646975885	0.7153333333333334	0.5501241720452291	0.2828057728381559	0.6666666666666666	0.8353843688964844	50.0	50	26.491333333333333	generation/results/gemma2/gemma-2-9b_context_not_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	0.8620305808385214	0.3723711967468261	0.0792830389626119	0.6853333333333333	0.6973853522381721	0.4800824260691591	0.6333333333333333	0.1812128980954488	50.0	50	26.36466666666667	generation/results/gemma2/gemma-2-9b_context_not_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.1091014309525489	0.0197804570198058	-0.000576394806099	0.505	0.4952465423706217	0.0336466178193449	0.5	-0.0094619661569595	50.0	50	33.6865	generation/results/gemma2_it/gemma-2-9b-it_context_just_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	1.075496186077595	0.6066297888755798	0.0440661293244403	0.67	0.6298135940212103	1.1708491634054603	0.675	0.9899818509817124	50.0	50	33.465	generation/results/gemma2_it/gemma-2-9b-it_context_just_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	0.970696017106374	0.2595031261444091	0.0367750528961382	0.5626666666666666	0.5604952607697217	0.8366965160533341	0.6333333333333333	0.5685031215349833	50.0	50	30.62333333333333	generation/results/gemma2_it/gemma-2-9b-it_context_only_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	1.4010625847975413	0.6077911257743835	0.064300574406121	0.6726666666666666	0.6778733296883772	1.232248649555515	0.7333333333333333	1.6701673825581869	50.0	50	29.904666666666667	generation/results/gemma2_it/gemma-2-9b-it_context_only_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	6.5233761327266695	2.610549390316009	0.2339037193118474	0.7046666666666667	0.7783343208462888	8.119236281464222	0.6666666666666666	6.136158339182535	50.0	50	33.632666666666665	generation/results/gemma2_it/gemma-2-9b-it_context_not_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	9.433682884057363	4.708284139633179	0.3869259368363767	0.7873333333333333	0.8389500719804708	11.10286809283934	0.8	9.727409319082897	50.0	50	32.906666666666666	generation/results/gemma2_it/gemma-2-9b-it_context_not_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.1728268225193023	0.1202392578125	0.0138350114506418	0.62	0.5990097355132324	0.1287937703285576	0.6	0.2299956560134887	50.0	50	25.8665	generation/results/olmo2/OLMo-2-1124-7B_context_just_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.1028246739506721	0.0623779296875	0.013929173923068	0.5565	0.5454034879533879	0.0149214462371696	0.575	0.0322705209255218	50.0	50	25.996	generation/results/olmo2/OLMo-2-1124-7B_context_just_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	0.2427839756806691	0.132080078125	0.0201134835992426	0.616	0.4267144747565066	0.0147410888383805	0.6	0.1886924028396606	50.0	50	26.704666666666668	generation/results/olmo2/OLMo-2-1124-7B_context_only_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	0.1985466113885243	0.1357650756835937	0.0190826364651263	0.6173333333333333	0.611928121206487	0.1181394192757985	0.6666666666666666	0.3085248430569967	50.0	50	26.740666666666662	generation/results/olmo2/OLMo-2-1124-7B_context_only_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	0.6035197513103485	0.299407958984375	0.0453036658493768	0.6393333333333333	0.5862507640795047	0.2389025773436476	0.6666666666666666	1.1538386662801108	50.0	50	25.762	generation/results/olmo2/OLMo-2-1124-7B_context_not_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	0.6927438210646312	0.3353424072265625	0.0916784283376964	0.6733333333333333	0.6454995088422123	0.3595193728936131	0.7666666666666667	0.6320493618647257	50.0	50	25.84	generation/results/olmo2/OLMo-2-1124-7B_context_not_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	1.0265157247185708	0.6582942605018616	0.0153084884349249	0.662	0.6121688697639212	0.8095377279292759	0.7	0.7926615476608276	50.0	50	28.072	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_just_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	1.2556837424039842	0.7973890900611877	0.0275155445255775	0.6915	0.6897937785023748	1.059117586089561	0.725	1.2718723475933076	50.0	50	27.065	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_just_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	1.2493361937999723	0.2600701451301574	0.0224308656118509	0.5626666666666666	0.4926113135686719	0.4477914582179768	0.4666666666666667	0.7337770700454712	50.0	50	25.799333333333333	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_only_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	1.9449373987515768	1.4573915600776672	0.0462867287394258	0.7686666666666667	0.7802674999834202	1.4412068761918213	0.7666666666666667	2.47588654756546	50.0	50	25.850666666666665	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_only_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	12.526337903261185	8.434118628501892	0.2471794139993929	0.8833333333333333	0.8943616591489106	9.44518472321402	0.8666666666666667	9.905130104223888	50.0	50	25.842666666666663	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_not_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	16.140455926656724	9.410308599472046	0.3151221483823216	0.866	0.8848645043708678	12.070134457830992	0.9	15.676311524709066	50.0	50	25.648	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_not_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.1752808185219764	0.0645751953125	0.0140586606307015	0.591	0.6176825925290614	0.0592933629465752	0.5	0.0378761351108551	50.0	50	25.86	generation/results/qwen3_5/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.1190120931267738	0.0598907470703125	0.0156190879552456	0.5725	0.5940124226905612	0.117349003565102	0.5	-0.0242607116699218	50.0	50	25.978	generation/results/qwen3_5/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	0.1755569388866424	0.070195198059082	0.0144016871066706	0.5826666666666667	0.4543839561049098	0.0256967593399418	0.5333333333333333	0.2670085032780965	50.0	50	25.71066666666667	generation/results/qwen3_5/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	0.1726588659286499	0.0840415954589843	0.0181206474498485	0.606	0.6702527584310652	0.1398238207092088	0.6	0.1810272773106893	50.0	50	25.94933333333333	generation/results/qwen3_5/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	1.0129227259159088	0.497314453125	0.0871803175772249	0.7106666666666667	0.6550353659295314	0.5381699151541474	0.6333333333333333	0.7449398597081502	50.0	50	25.676	generation/results/qwen3_5/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	1.0176682970523834	0.517913818359375	0.1376680667139402	0.712	0.8176465322247799	0.8049296598579267	0.6666666666666666	0.7384605407714844	50.0	50	25.98	generation/results/qwen3_5/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	not	not (control)	S' samples
just	discourse_particle	just	P	2000	40	50.0	0.9514479238390924	0.4746981859207153	0.0203804775896916	0.7015	0.6060785914549598	0.4200792795712073	0.7	0.6955807685852051	50.0	50	26.843	generation/results/qwen35_instruct/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	just	just	S samples
just	discourse_particle	just	P_prime	2000	40	50.0	0.7464482291936875	0.3804364204406738	0.018412625439244	0.683	0.7423240659018155	0.7056329820428517	0.725	0.6437597274780273	50.0	50	26.6435	generation/results/qwen35_instruct/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	just	just	S' samples
only	discourse_particle	only	P	1500	30	50.0	1.493025105158488	1.0103821754455566	0.0348433191054924	0.7793333333333333	0.7726504255836327	1.0629194680821077	0.8666666666666667	2.192396573225657	50.0	50	25.616	generation/results/qwen35_instruct/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	only	only	S samples
only	discourse_particle	only	P_prime	1500	30	50.0	1.546013726949692	0.7153752446174622	0.0368442256474981	0.7433333333333333	0.7301376977340379	0.9363677507412054	0.7666666666666667	1.656995987892151	50.0	50	25.595333333333333	generation/results/qwen35_instruct/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	only	only	S' samples
not	meaning_control	not	P	1500	30	50.0	11.249477957963943	8.357086598873138	0.2529948622016931	0.946	0.8821847579255812	7.305353273230931	0.9666666666666668	11.25871733824412	50.0	50	25.819333333333333	generation/results/qwen35_instruct/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	S samples
not	meaning_control	not	P_prime	1500	30	50.0	15.38016785399119	11.509329915046692	0.3229126591510759	0.944	0.9175227738654304	11.190618351455065	1.0	16.85279548962911	50.0	50	25.538	generation/results/qwen35_instruct/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	S' samples
