model_dir	model_label	model_order	condition	condition_label	generated_from	generated_from_label	n_items	mean_delta_per_token	sd_delta_per_token	se_delta_per_token	ci_low	ci_high	t_stat	df	p_value_one_sided	p_value_two_sided	cohens_d	analysis_metric	null_mean	alternative	ci_level	item_data_path	p_value_fdr_bh	reject_fdr_bh	alpha	condition_order	source_order
qwen35_instruct	Qwen3.5 9B Chat	7	just	just	P	S samples	40	0.020380477589691644	0.034344276043535626	0.005430306844356438	0.0093966452425984	0.031364309936784886	3.7530987058074796	39.0	0.00028426216008405595	0.0005685243201681119	0.5934170096890924	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0004263932401260839	True	0.05	0	0
qwen35_instruct	Qwen3.5 9B Chat	7	just	just	P_prime	S' samples	40	0.01841262543924405	0.03404273332644195	0.005382628754463848	0.007525231131661245	0.029300019746826854	3.4207496521052736	39.0	0.0007389764361085121	0.0014779528722170241	0.5408680102940631	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0009334439192949627	True	0.05	0	1
llama3	Llama 3 8B	0	only	only	P	S samples	30	0.01472694002735551	0.01367677325272488	0.002497025741466907	0.009619948963739	0.01983393109097202	5.8977926349705925	29.0	1.0545421589674756e-06	2.109084317934951e-06	1.076784688553742	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	7.231146232919833e-06	True	0.05	1	0
llama3	Llama 3 8B	0	only	only	P_prime	S' samples	30	0.014315303682157427	0.02213445759288471	0.004041180573921485	0.006050161383162358	0.022580445981152497	3.542356848525114	29.0	0.0006817849733310034	0.0013635699466620068	0.6467429175567054	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0008844778032402207	True	0.05	1	1
llama3_instruct	Llama 3 8B Inst.	1	only	only	P	S samples	30	0.04793136564560444	0.06338903707267347	0.011573201834411502	0.024261510199481466	0.07160122109172742	4.141582107648584	29.0	0.00013601361476053175	0.0002720272295210635	0.7561459813729728	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0002176217836168508	True	0.05	1	0
llama3_instruct	Llama 3 8B Inst.	1	only	only	P_prime	S' samples	30	0.041523542169566684	0.046793547951316496	0.008543293919545232	0.024050544203860692	0.058996540135272675	4.860366804725012	29.0	1.8696177472602727e-05	3.7392354945205454e-05	0.8873775122323986	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.985647326027394e-05	True	0.05	1	1
gemma2	Gemma 2 9B	2	only	only	P	S samples	30	0.012322148824457155	0.01588108679652606	0.002899476492051593	0.006392053556246291	0.01825224409266802	4.249784006953037	29.0	0.00010113423710650561	0.00020226847421301122	0.7759008550442901	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00018607889816631942	True	0.05	1	0
gemma2	Gemma 2 9B	2	only	only	P_prime	S' samples	30	0.015818678178603895	0.02394543373366567	0.004371818068391279	0.006877306275118714	0.024760050082089077	3.6183294755503805	29.0	0.0005576565150569896	0.0011153130301139792	0.6606135580815936	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0007872797859628088	True	0.05	1	1
gemma2_it	Gemma 2 9B IT	3	only	only	P	S samples	30	0.03677505289613822	0.16738512073519263	0.03056020213913024	-0.025727578388378178	0.09927768418065462	1.2033641900899044	29.0	0.11928364015268536	0.23856728030537072	0.2197032372687251	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.12182158994316804	False	0.05	1	0
gemma2_it	Gemma 2 9B IT	3	only	only	P_prime	S' samples	30	0.06430057440612104	0.11859862083688467	0.021653046640454653	0.02001512157458124	0.10858602723766084	2.969585549498955	29.0	0.0029659527687940553	0.005931905537588111	0.5421696639673173	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0034723349488320647	True	0.05	1	1
olmo2	OLMo 2 7B	4	only	only	P	S samples	30	0.0201134835992426	0.01942676341685922	0.0035468255142433107	0.012859410922039615	0.02736755627644559	5.670841015006532	29.0	1.9716455263396874e-06	3.943291052679375e-06	1.0353491813148568	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.4638985264305e-06	True	0.05	1	0
olmo2	OLMo 2 7B	4	only	only	P_prime	S' samples	30	0.019082636465126295	0.02145106240433646	0.003916410253768695	0.0110726781233661	0.027092594806886493	4.872481489078781	29.0	1.8077413514668982e-05	3.6154827029337964e-05	0.8895893408649367	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.985647326027394e-05	True	0.05	1	1
olmo2_instruct	OLMo 2 7B Inst.	5	only	only	P	S samples	30	0.022430865611850984	0.06326102885906924	0.011549830839032509	-0.0011911907817567305	0.0460529220054587	1.9420947306038587	29.0	0.030947465325712117	0.061894930651424235	0.35457636425455075	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.033010629680759594	True	0.05	1	0
olmo2_instruct	OLMo 2 7B Inst.	5	only	only	P_prime	S' samples	30	0.04628672873942584	0.0536431571114608	0.009793855735246916	0.02625604467892747	0.0663174127999242	4.726098687858493	29.0	2.7142241889115785e-05	5.428448377823157e-05	0.862863620111888	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	6.856987424618724e-05	True	0.05	1	1
qwen3_5	Qwen3.5 9B	6	only	only	P	S samples	30	0.014401687106670603	0.018910670572920226	0.0034526002834458502	0.007340326664531377	0.02146304754880983	4.171258160326938	29.0	0.0001254127070599404	0.0002508254141198808	0.7615640625295216	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00020757965306472892	True	0.05	1	0
qwen3_5	Qwen3.5 9B	6	only	only	P_prime	S' samples	30	0.01812064744984854	0.021158702680261772	0.003863032915174797	0.010219858023198738	0.02602143687649834	4.690782565860847	29.0	2.9935580151831862e-05	5.9871160303663725e-05	0.8564158078913161	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	7.184539236439647e-05	True	0.05	1	1
qwen35_instruct	Qwen3.5 9B Chat	7	only	only	P	S samples	30	0.03484331910549245	0.028257216416820035	0.005159038281265878	0.024291901087750124	0.04539473712323478	6.753839999989864	29.0	1.0307608058998774e-07	2.0615216117997548e-07	1.23307683925838	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.728757568968356e-06	True	0.05	1	0
qwen35_instruct	Qwen3.5 9B Chat	7	only	only	P_prime	S' samples	30	0.036844225647498126	0.04466567072731443	0.008154798467816098	0.020165790095502293	0.05352266119949396	4.51810376343552	29.0	4.828957463096519e-05	9.657914926193038e-05	0.8248891161275398	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.750708286327353e-05	True	0.05	1	1
llama3	Llama 3 8B	0	not	not (control)	P	S samples	30	0.062000831564115615	0.05577646919986806	0.010183343452919954	0.04117355567818573	0.0828281074500455	6.088455314382783	29.0	6.249673366465078e-07	1.2499346732930156e-06	1.1115947720165527	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.999738693172062e-06	True	0.05	2	0
llama3	Llama 3 8B	0	not	not (control)	P_prime	S' samples	30	0.060310251109219136	0.0675511747604005	0.012333100734081663	0.035086227908466716	0.08553427430997156	4.890112584790293	29.0	1.7213217308180445e-05	3.442643461636089e-05	0.8928083238098459	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.985647326027394e-05	True	0.05	2	1
llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	P	S samples	30	0.21008232038709476	0.2696343430762536	0.049228270660317	0.10939920200168278	0.31076543877250673	4.267513718625149	29.0	9.633053410342647e-05	0.00019266106820685293	0.7791378427179163	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00018495462547857882	True	0.05	2	0
llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	P_prime	S' samples	30	0.3027679247698123	0.41566774990734723	0.07589020101722334	0.1475550361019777	0.45798081343764685	3.9895522835826838	29.0	0.0002057868079273459	0.0004115736158546918	0.7283892600214945	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00031863763808105173	True	0.05	2	1
gemma2	Gemma 2 9B	2	not	not (control)	P	S samples	30	0.05816896469758854	0.05851747985910217	0.01068378124239483	0.03631817861058127	0.0800197507845958	5.444604618706105	29.0	3.6885290135277723e-06	7.3770580270555446e-06	0.9940442554540493	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.4754116054111087e-05	True	0.05	2	0
gemma2	Gemma 2 9B	2	not	not (control)	P_prime	S' samples	30	0.07928303896261193	0.089171626387215	0.016280437087233517	0.045985806444925344	0.11258027148029853	4.869834792382976	29.0	1.8210827107305646e-05	3.642165421461129e-05	0.8891061223705476	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.985647326027394e-05	True	0.05	2	1
gemma2_it	Gemma 2 9B IT	3	not	not (control)	P	S samples	30	0.23390371931184747	0.48193151667175443	0.08798825428459899	0.05394753348947581	0.4138599051342191	2.6583516312902775	29.0	0.006322344294372578	0.012644688588745156	0.4853463847461138	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.007057500607671715	True	0.05	2	0
gemma2_it	Gemma 2 9B IT	3	not	not (control)	P_prime	S' samples	30	0.3869259368363766	0.5001535876693628	0.0913151340612159	0.2001655178790562	0.573686355793697	4.237259692100862	29.0	0.00010466938021855468	0.00020933876043710935	0.7736142384570123	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.00018607889816631942	True	0.05	2	1
olmo2	OLMo 2 7B	4	not	not (control)	P	S samples	30	0.0453036658493768	0.07357662398099571	0.013433192219822303	0.01782970293292982	0.07277762876582378	3.3725167561084812	29.0	0.001063672534277962	0.002127345068555924	0.615734500961588	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	0.0013091354268036455	True	0.05	2	0
olmo2	OLMo 2 7B	4	not	not (control)	P_prime	S' samples	30	0.09167842833769634	0.09039851451069081	0.01650443518748781	0.05792306826558825	0.12543378840980443	5.554775264723916	29.0	2.7181157411321224e-06	5.436231482264245e-06	1.0141585714536732	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.1860868688576535e-05	True	0.05	2	1
olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	P	S samples	30	0.24717941399939294	0.2507846947436309	0.045786811462711303	0.15353486997711435	0.34082395802167154	5.398484980783066	29.0	4.191905721253324e-06	8.383811442506648e-06	0.985624000109243	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.5477805740012272e-05	True	0.05	2	0
olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	P_prime	S' samples	30	0.31512214838232155	0.28024980371874464	0.05116637974438387	0.21047515184848936	0.41976914491615375	6.158773592280779	29.0	5.156472199302972e-07	1.0312944398605944e-06	1.1244330743531024	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	4.950213311330853e-06	True	0.05	2	1
qwen3_5	Qwen3.5 9B	6	not	not (control)	P	S samples	30	0.08718031757722486	0.08390379643313613	0.01531866732225005	0.05585012509178946	0.11851051006266025	5.691116318623698	29.0	1.8642293563207198e-06	3.7284587126414395e-06	1.0390509283653193	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.4638985264305e-06	True	0.05	2	0
qwen3_5	Qwen3.5 9B	6	not	not (control)	P_prime	S' samples	30	0.13766806671394016	0.13143727618545964	0.023997053687937607	0.08858858118752028	0.18674755224036005	5.736873722257853	29.0	1.6429588332326542e-06	3.2859176664653083e-06	1.047405049079751	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	9.4638985264305e-06	True	0.05	2	1
qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	P	S samples	30	0.2529948622016931	0.21148017593763271	0.03861082094206756	0.1740268667038984	0.3319628576994878	6.552434162984817	29.0	1.7709217261646168e-07	3.5418434523292336e-07	1.1963053325447555	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	2.1251060713975404e-06	True	0.05	2	0
qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	P_prime	S' samples	30	0.32291265915107586	0.25968197051349373	0.047411224342543974	0.22594581775590136	0.41987950054625034	6.8108905354994915	29.0	8.849214303887414e-08	1.7698428607774828e-07	1.243492794330504	mean_own_context_log_prob_advantage_per_token	0.0	greater	0.95	generation/results/figures/generation_context_delta_item_plot_data.tsv	1.728757568968356e-06	True	0.05	2	1
