id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
81	not	[NO CONTEXT]	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-22.84375	-28.5859375	1.19973527697938e-10	3.848443223230303e-13	5.7421875	311.7456091692961	False
83	not	[NO CONTEXT]	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-33.2451171875	-36.4794921875	3.646104026072249e-15	1.4360112436062284e-16	3.234375	25.39049775763493	False
85	not	[NO CONTEXT]	Yes, very. Believe it or not, it will cost you more than one hundred dollars.	Yes, very. Believe it or, it will cost you more than one hundred dollars.	I am in no particular hurry.	-26.0386962890625	-26.2520751953125	4.915162557795047e-12	3.970713973083796e-12	0.21337890625	1.2378535928584549	False
95	not	[NO CONTEXT]	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-76.23969268798828	-76.66989135742188	7.7539351346537e-34	5.04300333484164e-34	0.43019866943359375	1.5375629599692082	False
97	not	[NO CONTEXT]	I’m afraid not. I apologize.	I’m afraid. I apologize.	I can’t believe it! I have all my important personal documents stored in that computer. It’s no laughing matter.	-77.01821517944336	-76.49427795410156	3.559706089598464e-34	6.011144768497092e-34	-0.5239372253417969	0.5921843886132961	False
126	not	[NO CONTEXT]	No. We have some that are different in style but not in color. They're over there. Do you see the sign?	No. We have some that are different in style but in color. They're over there. Do you see the sign?	Oh, yes. I think I'll look at those over there before I decide.	-43.07611083984375	-43.31951904296875	1.9601204531504706e-19	1.536639245982341e-19	0.243408203125	1.2755892173620798	False
149	not	[NO CONTEXT]	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-47.714111328125	-50.494873046875	1.8968139775344726e-21	1.175859064278438e-22	2.78076171875	16.131303785955385	False
175	not	[NO CONTEXT]	Not always. It depends on the transmission of the satellite signals.	always. It depends on the transmission of the satellite signals.	I got it. Do you pay for the programs?	-45.57763671875	-43.6689453125	1.606511633603664e-20	1.0834728179183408e-19	-1.90869140625	0.1482742905069118	False
185	not	[NO CONTEXT]	OK. But I'm not familiar. I don't know the beginning part.	OK. But I'm familiar. I don't know the beginning part.	Never mind. You can follow me. I'll sing the first part.	-46.474609375	-47.1220703125	6.551392207828573e-21	3.428821583121962e-21	0.6474609375	1.910683320496219	False
189	not	[NO CONTEXT]	Of course not! I'm telling the truth.	Of course! I'm telling the truth.	Honey, it's good if you spend money to buy more books. But $ 100 dollars a week is enough for you already.	-105.758544921875	-109.7080078125	1.1739443941555721e-46	2.261609326443643e-48	3.949462890625	51.907479352394944	False
193	not	[NO CONTEXT]	Not today, Honey. Don't eat too much ice cream.	today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-26.31201171875	-31.31103515625	3.739714969574711e-12	2.5222620699038657e-14	4.9990234375	148.2682951227684	False
214	not	[NO CONTEXT]	Ah, that's the biggest fun of all. You see, even though you're not a good singer, people will listen to you.	Ah, that's the biggest fun of all. You see, even though you're a good singer, people will listen to you.	I wouldn't do that.	-20.419082641601562	-20.029129028320312	1.3555173578149304e-09	2.0019802358191645e-09	-0.38995361328125	0.6770882816734121	False
226	not	[NO CONTEXT]	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-45.231346130371094	-47.664939880371094	2.2713076650021737e-20	1.9924142064342163e-21	2.43359375	11.399776500625777	False
235	not	[NO CONTEXT]	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-18.140869140625	-19.63232421875	1.3228805625629804e-08	2.9770760221272243e-09	1.491455078125	4.443556539136465	False
244	not	[NO CONTEXT]	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	-33.9306640625	-35.85498046875	1.8369605530119692e-15	2.681512548682153e-16	1.92431640625	6.850464130457847	False
249	not	[NO CONTEXT]	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-18.846527099609375	-19.432373046875	6.532166974612748e-09	3.636031319752356e-09	0.585845947265625	1.7965100958089775	False
256	not	[NO CONTEXT]	I'm not sure, what about you?	I'm sure, what about you?	Do you think Kentucky fried chicken is good?	-35.819671630859375	-36.271392822265625	2.777885028496476e-16	1.7682116447838589e-16	0.45172119140625	1.5710138753418497	False
257	not	[NO CONTEXT]	Maybe not. Could you buy some while you're out?	Maybe. Could you buy some while you're out?	No problems. What color?	-31.05322265625	-31.47216796875	3.264049641132923e-14	2.146896547730162e-14	0.4189453125	1.5203572079818597	False
267	not	[NO CONTEXT]	I'm not exactly sure, but it's not that expensive at all.	I'm exactly sure, but it's that expensive at all.	I used to subscribe to it, but I cancelled my subscription last year.	-43.23876953125	-44.171630859375	1.6658695438003892e-19	6.553970180870607e-20	0.932861328125	2.54177162517865	False
272	not	[NO CONTEXT]	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-42.455078125	-44.21875	3.647487746142438e-19	6.252315404610757e-20	1.763671875	5.833819169539345	False
279	not	[NO CONTEXT]	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-57.1246337890625	-57.2957763671875	1.5526971815161392e-25	1.3084601105610189e-25	0.171142578125	1.1866599287084119	False
288	not	[NO CONTEXT]	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	-66.16595458984375	-66.4482421875	1.8386159858434902e-29	1.3864208653495526e-29	0.28228759765625	1.3261600656738006	False
289	not	[NO CONTEXT]	I want to get in shape. I feel like a fence sitter-not really fat, but not really healthy.	I want to get in shape. I feel like a fence sitter-not really fat, but really healthy.	I know what you mean. I fit into my clothes, but I'm not always comfortable.	-47.982666015625	-46.53759765625	1.4500832045724911e-21	6.151459044106768e-21	-1.445068359375	0.23572996165222013	False
290	not	[NO CONTEXT]	No, he's perfectly harmless. And he's not afraid of strangers either. Here, hold him.	No, he's perfectly harmless. And he's afraid of strangers either. Here, hold him.	Wow. He's heavy! And his skin feels really cool.	-50.68505859375	-51.67138671875	9.722069867304759e-23	3.625783562471582e-23	0.986328125	2.6813707160935807	False
293	not	[NO CONTEXT]	I do not care the brand as long as it works well.	I do care the brand as long as it works well.	Anything else?	-20.232421875	-18.85888671875	1.6336944142194838e-09	6.451928756979947e-09	-1.37353515625	0.2532102377063742	False
294	not	[NO CONTEXT]	Not from this brand, I'm afraid.	from this brand, I'm afraid.	What about other brands?	-18.81298828125	-20.6201171875	6.754963416939163e-09	1.1086561979579024e-09	1.80712890625	6.092928925469878	False
302	not	[NO CONTEXT]	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	-39.91658592224121	-40.0797061920166	4.617926300629859e-18	3.922877661774853e-18	0.16312026977539062	1.177178260139915	False
309	not	[NO CONTEXT]	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	-35.296875	-35.563232421875	4.685564914880043e-16	3.5899169410319106e-16	0.266357421875	1.3052014828881229	False
317	not	[NO CONTEXT]	I'm afraid not.	I'm afraid.	OK. Here you are.	-22.56787109375	-23.23388671875	1.5808771262347572e-10	8.121779693091395e-11	0.666015625	1.9464663977274512	False
319	not	[NO CONTEXT]	Not bad.	bad.	I always have the temptation to eat something there.	-45.015869140625	-43.3046875	2.8174514050922824e-20	1.5595998265109834e-19	-1.711181640625	0.18065220046832575	False
320	not	[NO CONTEXT]	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	-53.17125463485718	-54.82111406326294	8.091285327464471e-24	1.554149061620713e-24	1.6498594284057617	5.206247925167897	False
327	not	[NO CONTEXT]	Certainly not.	Certainly.	May I turn on the TV then?	-32.133544921875	-33.38818359375	1.1080994936887224e-14	3.1600656451373313e-15	1.254638671875	3.506571122640606	False
328	not	[NO CONTEXT]	Not today. Thanks though.	today. Thanks though.	No problem. We always have this offer, so when ever you decide to, just let us know.	-69.98355102539062	-70.26141357421875	4.041382584947912e-31	3.060946887927594e-31	0.277862548828125	1.32030470730713	False
333	not	[NO CONTEXT]	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	-47.9398193359375	-49.068603515625	1.5135647299315726e-21	4.895265581814603e-22	1.1287841796875	3.0918950251735193	False
340	not	[NO CONTEXT]	No, not really, there's just a lot of blood.	No, really, there's just a lot of blood.	You may just need stitches. I think they can handle this at the clinic instead of the ER. Let me make a quick phone call.	-89.69544219970703	-90.01380157470703	1.1111287905883457e-39	8.081699180615316e-40	0.318359375	1.374870266457688	False
346	not	[NO CONTEXT]	Sometimes pink is not bad, too.	Sometimes pink is bad, too.	You're right. Well, just these two, please.	-50.5091552734375	-52.128662109375	1.1591845368471272e-22	2.2951427212514535e-23	1.6195068359375	5.05059892839722	False
355	not	[NO CONTEXT]	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	-46.4423828125	-46.408203125	6.765959877850213e-21	7.001215857318798e-21	-0.0341796875	0.9663978394234685	False
360	not	[NO CONTEXT]	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	-85.0859375	-85.224853515625	1.1159554466211196e-37	9.712172718108228e-38	0.138916015625	1.149027595586757	False
367	not	[NO CONTEXT]	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	-33.8309326171875	-32.85845947265625	2.0296102462996036e-15	5.3672567047025665e-15	-0.97247314453125	0.37814666932575514	False
368	not	[NO CONTEXT]	Pay him? But he studies for himself, not for you or for me or for anybody else. I got an idea. You should send him to class every morning and after the class begins, you can go to work.	Pay him? But he studies for himself, for you or for me or for anybody else. I got an idea. You should send him to class every morning and after the class begins, you can go to work.	In that way, I'll be late every day. How about letting him go to school on school bus?	-69.181640625	-68.6064453125	9.011461416126035e-31	1.6017671320642456e-30	-0.5751953125	0.5625949762443118	False
370	not	[NO CONTEXT]	Hold it, Mike. You won't accomplish anything by hollering at him, right? You worked it all up till now. Why not wait until you cool down a bit?	Hold it, Mike. You won't accomplish anything by hollering at him, right? You worked it all up till now. Why wait until you cool down a bit?	What would you do if you were in my shoes?	-28.11669921875	-26.53466796875	6.152798322820087e-13	2.993230225349962e-12	-1.58203125	0.20555713592330557	False
371	not	[NO CONTEXT]	No thanks. Western women usually try to make their skin darker, not lighter.	No thanks. Western women usually try to make their skin darker, lighter.	Will that be all then?	-29.1123046875	-29.4697265625	2.2734568656112226e-13	1.590231568864121e-13	0.357421875	1.429638871548198	False
379	not	[NO CONTEXT]	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	-51.240478515625	-49.44677734375	5.578827468604059e-23	3.353802249689995e-22	-1.793701171875	0.1663433635396879	False
381	not	[NO CONTEXT]	No, not yet. I'd like to buy a teapot.	No, yet. I'd like to buy a teapot.	Which do you like best?	-25.21636962890625	-24.62451171875	1.118587125684866e-11	2.0216708120106737e-11	-0.59185791015625	0.5532983505719032	False
383	not	[NO CONTEXT]	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	-29.42822265625	-29.180908203125	1.6576211835830247e-13	2.1227194069357286e-13	-0.247314453125	0.7808951000150789	False
385	not	[NO CONTEXT]	She'd better not start crying like she usually does.	She'd better start crying like she usually does.	I know, but she is going to miss you something awful. Have I told you how proud I am of you?	-70.44102478027344	-70.27105712890625	2.557711983843371e-31	3.0315703539873712e-31	-0.1699676513671875	0.8436921084411771	False
386	not	[NO CONTEXT]	Thanks for not giving in to my childhood tantrums, mom.	Thanks for giving in to my childhood tantrums, mom.	But what are you going to do with that pig?	-36.314788818359375	-36.28874206542969	1.6931194731209918e-16	1.7377990912213333e-16	-0.0260467529296875	0.9742895376536648	False
388	not	[NO CONTEXT]	No, you do not have to. The handbag can be taken with you. There is the cart at the entrance.	No, you do have to. The handbag can be taken with you. There is the cart at the entrance.	Thank you. I'd tike to buy some milk powder for my baby. Is there anything that you can recommend for me?	-78.93568420410156	-78.9229736328125	5.232002283952345e-35	5.298928455867422e-35	-0.0127105712890625	0.9873698668565772	False
389	not	[NO CONTEXT]	It is heavy and not convenient to take them to the top.	It is heavy and convenient to take them to the top.	How about taking a cantaloupe? It is light and sweet. Children love it.	-59.597816944122314	-61.98013210296631	1.3091727821170277e-26	1.2088450599435478e-27	2.382315158843994	10.829946909640887	False
398	not	[NO CONTEXT]	Can you believe her? She is not even a hundred pounds and she is going off on how she wants to go on a diet.	Can you believe her? She is even a hundred pounds and she is going off on how she wants to go on a diet.	Tell me about it. If I was as small as her, I wouldn't think about going on a diet.	-51.370819091796875	-52.60053253173828	4.8970747990435915e-23	1.4317888508241646e-23	1.2297134399414062	3.420249289009859	False
400	not	[NO CONTEXT]	I'm sorry to interrupt you. Please take care not to make a mess while you are selecting goods. If you don't want it, please replace it.	I'm sorry to interrupt you. Please take care to make a mess while you are selecting goods. If you don't want it, please replace it.	Oh, I'm terribly sorry. but I couldn't find the yoghurt I saw here last time.	-66.05982971191406	-66.02226257324219	2.0444687686419853e-29	2.1227345160552531e-29	-0.037567138671875	0.9631297522976582	False
401	not	[NO CONTEXT]	I'm still not sure. The type with top quality, I guess. Well, which one do you recommend?	I'm still sure. The type with top quality, I guess. Well, which one do you recommend?	Do you prefer imported ones or domestic ones?	-35.039794921875	-33.176513671875	6.05913206380845e-16	3.905019289748104e-15	-1.86328125	0.15516266666634826	False
413	not	[NO CONTEXT]	No, I'm afraid not. Can I sit over there? There's a table free by the window.	No, I'm afraid. Can I sit over there? There's a table free by the window.	Sorry, sir. That table has been reserved. This way, please. How about this one, sir?	-51.080810546875	-50.58782958984375	6.544641295568311e-23	1.071481699036754e-22	-0.49298095703125	0.6108029004556816	False
420	not	[NO CONTEXT]	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	May I ask what time he will come back?	-29.210693359375	-25.4793701171875	2.0604261895776804e-13	8.599043694315382e-12	-3.7313232421875	0.023961108500236805	False
427	not	[NO CONTEXT]	But Day. I'm not sleepy.	But Day. I'm sleepy.	Well, honey. Turn off the light, lie down and go to sleep.	-47.55560302734375	-46.028900146484375	2.222613877428301e-21	1.023063659615506e-20	-1.526702880859375	0.21725078948299437	False
432	not	[NO CONTEXT]	But after all, it is your decision, not mine.	But after all, it is your decision, mine.	Oh, yes. The green dress is very smart. but I can't be sure if it goes with a hat.	-83.75244140625	-82.958251953125	4.234253462519537e-37	9.368907441160962e-37	-0.794189453125	0.45194741106278274	False
433	not	[NO CONTEXT]	Short on both sides. Not so much in the middle.	Short on both sides. so much in the middle.	It's a long time since you had a haircut last time, isn't it?	-47.05317687988281	-48.45936584472656	3.673372116354427e-21	9.002534971193373e-22	1.40618896484375	4.0803752810831755	False
435	not	[NO CONTEXT]	I'm not sure. What do you suggest?	I'm sure. What do you suggest?	Well, how about like this?	-28.936065673828125	-29.27557373046875	2.7116045243620517e-13	1.93098933126889e-13	0.339508056640625	1.404256605902739	False
440	not	[NO CONTEXT]	You can't send this document; it is not clear enough to send. The photograph is all right.	You can't send this document; it is clear enough to send. The photograph is all right.	Well, how long will it take to arrive in Shenzhen?	-42.576904296875	-41.86627197265625	3.229129092303596e-19	6.572174778457403e-19	-0.71063232421875	0.491333417195202	False
445	not	[NO CONTEXT]	Not very expensive.	very expensive.	I'll take this one.	-23.078125	-23.7509765625	9.490687198747039e-11	4.8426372584213304e-11	0.6728515625	1.9598179034043413	False
454	not	[NO CONTEXT]	I think it’s good, and it suits me, because I'm not good at cooking. Is it expensive?	I think it’s good, and it suits me, because I'm good at cooking. Is it expensive?	Oh, it is not so expensive. It only costs me 280 dollars.	-44.321044921875	-44.63720703125	5.644360685787126e-20	4.1144074600407683e-20	0.316162109375	1.3718526277733314	False
460	not	[NO CONTEXT]	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-24.319091796875	-26.815673828125	2.7438011116496292e-11	2.2599603927608083e-12	2.49658203125	12.140925657098585	False
467	not	[NO CONTEXT]	I'm afraid I can't. Parking is not allowed here.	I'm afraid I can't. Parking is allowed here.	Oh, that's too bad. Where can you park around here?	-33.67751693725586	-34.060367584228516	2.3661388695805942e-15	1.6135049666386343e-15	0.38285064697265625	1.4664589936217545	False
470	not	[NO CONTEXT]	Not at all. It has a very delicate flavor.	at all. It has a very delicate flavor.	What does' Duppa del Giono' mean? I'm sorry I don't know how to pronounce that.	-104.58402252197266	-101.90760803222656	3.7995846409822635e-46	5.521895298336991e-45	-2.6764144897460938	0.06880942929371678	False
475	not	[NO CONTEXT]	That's not a bad idea. How much is it?	That's a bad idea. How much is it?	I heard it is only about one hundred twenty dollars a month for 8 lessons.	-62.658203125	-63.76904296875	6.136039361144683e-28	2.0204891490286244e-28	1.11083984375	3.0369078517915633	False
477	not	[NO CONTEXT]	That's not a bad idea. How much is it?	That's a bad idea. How much is it?	I heard it is only about one hundred twenty dollars a month for 8 lessons.	-62.658203125	-63.76904296875	6.136039361144683e-28	2.0204891490286244e-28	1.11083984375	3.0369078517915633	False
479	not	[NO CONTEXT]	No, not yet. Is it good?	No, yet. Is it good?	Yes, it's quite amusing, actually. Good plot, and Sharon Stone's in it.	-71.81005859375	-71.77978515625	6.505606750263318e-32	6.705565274273898e-32	-0.0302734375	0.97018021362379	False
480	not	[NO CONTEXT]	Not much. I started exercising.	much. I started exercising.	Trying to get in shape?	-24.69482421875	-24.632080078125	1.8844044026056588e-11	2.0064278356886223e-11	-0.062744140625	0.9391837419156001	False
482	not	[NO CONTEXT]	Not back home for dinner again? That's the third time this week!	back home for dinner again? That's the third time this week!	I'm sorry. Our company has just opened. There are always too many things to handle. You know that.	-78.60382080078125	-78.62748718261719	7.291122075591496e-35	7.120593453594623e-35	0.0236663818359375	1.0239486530312705	False
505	not	[NO CONTEXT]	Oh, no, I'm afraid not. These things are just too old to guarantee anything.	Oh, no, I'm afraid. These things are just too old to guarantee anything.	I understand.	-15.1875	-15.02734375	2.536019310149668e-07	2.976511273059729e-07	-0.16015625	0.8520106519007895	False
519	not	[NO CONTEXT]	Don’t worry, madam. I guess we should get there not later than 1:30 p. m.	Don’t worry, madam. I guess we should get there later than 1:30 p. m.	Really? Great!	-25.28271484375	-24.95068359375	1.0467825055123358e-11	1.459001691921364e-11	-0.33203125	0.717464901725936	False
520	not	[NO CONTEXT]	No, I'm not sure where they sell nice bedroom sets.	No, I'm sure where they sell nice bedroom sets.	Do you want to know where I got mine from?	-29.0648193359375	-30.569580078125	2.3840169831567574e-13	5.294196516857078e-14	1.5047607421875	4.503076105252019	False
530	not	[NO CONTEXT]	It does not work very well.	It does work very well.	Would you like to exchange it?	-27.8984375	-30.745849609375	7.653543237598152e-13	4.438611900502421e-14	2.847412109375	17.243100791785427	False
541	not	[NO CONTEXT]	I'm afraid not. The price is very moderate.	I'm afraid. The price is very moderate.	It's rather more than I was thinking of paying.	-36.62841796875	-36.7158203125	1.23731476468622e-16	1.1337618511025295e-16	0.08740234375	1.0913356834885475	False
550	not	[NO CONTEXT]	Do not be a couch potato. You should do more exercise.	Do be a couch potato. You should do more exercise.	Well, it seems that I should do some jogging from tomorrow on.	-49.4947509765625	-50.3314208984375	3.196706526405233e-22	1.3846551887216435e-22	0.836669921875	2.3086661231208985	False
552	not	[NO CONTEXT]	But you know I'm just not into exercises. And I wouldn't have time for exercises, either.	But you know I'm just into exercises. And I wouldn't have time for exercises, either.	You can do some jogging. It's easy and it doesn't take much time.	-45.43828582763672	-44.910911560058594	1.8467291222722036e-20	3.129240426375692e-20	-0.527374267578125	0.5901525196678793	False
562	not	[NO CONTEXT]	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	Then what time do you think he will be in?	-31.06640625	-32.814697265625	3.2213001518132594e-14	5.607355002430112e-15	1.748291015625	5.744776548688668	False
568	not	[NO CONTEXT]	Black is not my favorite colour.	Black is my favorite colour.	You must like this pink one, don't you?	-41.58868408203125	-41.667572021484375	8.674890340214985e-19	8.016843336055978e-19	0.078887939453125	1.0820830564568253	False
569	not	[NO CONTEXT]	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	We're on clearance sale now. Prices have up to twenty percent off. Do miss the chance.	Well, how about fifty percent discount? If so, I'll buy that fur coat.	-61.160400390625	-62.31640625	2.7439462465285393e-27	8.636318166297458e-28	1.156005859375	3.1772176449410705	False
576	not	[NO CONTEXT]	Oh, please do not mention it any more. Last night he did it for the first time.	Oh, please do mention it any more. Last night he did it for the first time.	Really? Was it delicious?	-29.49560546875	-29.369873046875	1.5496060543950171e-13	1.7572202587492491e-13	-0.125732421875	0.881850779194859	False
578	not	[NO CONTEXT]	You are not too bad as well. I also want to have a steamed lobster. It is really taste like heaven.	You are too bad as well. I also want to have a steamed lobster. It is really taste like heaven.	Let's go into the restaurant and find a table to order some food.	-44.0380859375	-44.9091796875	7.49035297345672e-20	3.134664567604292e-20	0.87109375	2.389522965508657	False
582	not	[NO CONTEXT]	I'm afraid not, sir.	I'm afraid, sir.	What a pity!	-15.12451171875	-16.0126953125	2.7008969787963304e-07	1.1111553595482575e-07	0.88818359375	2.43071048129074	False
588	not	[NO CONTEXT]	I'm sorry. These batteries are not on sale.	I'm sorry. These batteries are on sale.	But that's what the ad said.	-25.33984375	-28.1943359375	9.886570943304943e-12	5.693187424920758e-13	2.8544921875	17.365616491086367	False
607	not	[NO CONTEXT]	Only when I go out. I'm not a big drinker.	Only when I go out. I'm a big drinker.	How much can you drink?	-20.587890625	-20.169921875	1.1449663088022236e-09	1.7390586515016986e-09	-0.41796875	0.6583828025659347	False
609	not	[NO CONTEXT]	Please cut the sides shorter, but not so much at the back.	Please cut the sides shorter, but so much at the back.	It's such a hot season, isn't it? May I suggest thinning out the top?	-64.66278076171875	-64.20398712158203	8.266299391833143e-29	1.3078642748571171e-28	-0.45879364013671875	0.6320456602988279	False
616	not	[NO CONTEXT]	I am not sure, sir. Generally we can, but look at the traffic. It's the rush hour.	I am sure, sir. Generally we can, but look at the traffic. It's the rush hour.	My train will leave at 3:00, I'll have to arrive there before 2:50.	-59.061004638671875	-59.142730712890625	2.2393995662939955e-26	2.063661237343412e-26	0.08172607421875	1.0851585162188804	False
617	not	[NO CONTEXT]	Oh, it is not easy to learn!	Oh, it is easy to learn!	I think you are a quick learner.	-26.3216552734375	-25.4169921875	3.703824159393142e-12	9.152517045781003e-12	-0.9046630859375	0.40467820391555326	False
622	not	[NO CONTEXT]	Absolutely not. We can remove the carpet ourselves. Carpet is held down with carpet nails. You just need to pull it hard and it will come up.	Absolutely. We can remove the carpet ourselves. Carpet is held down with carpet nails. You just need to pull it hard and it will come up.	Great. Then, after we remove the carpet, we need to redo all the wood floors. Right?	-57.5206298828125	-56.8956298828125	1.044979681867379e-25	1.9522790662475408e-25	-0.625	0.5352614285189903	False
626	not	[NO CONTEXT]	Yes, I have. But the taste of steamed fish at that restaurant is not delicious. The fish is not well-done and too salty.	Yes, I have. But the taste of steamed fish at that restaurant is delicious. The fish is well-done and too salty.	That's the case. I think there is not enough time to steam it and soy sauce is too much.	-68.75189208984375	-72.10833740234375	1.3849453771457319e-30	4.827774393943801e-32	3.3564453125	28.687035974238476	False
627	not	[NO CONTEXT]	That dress looks lovely on you, but it's not very practical, is it?	That dress looks lovely on you, but it's very practical, is it?	No, I don't have any plans to go to a formal dance any time soon, but I love the way it looks. I just want to try it on! What do you think about this? It's casual, yet sophisticated.	-114.84245681762695	-115.51797103881836	1.3321548672651584e-50	6.779265100887561e-51	0.6755142211914062	1.965043183059398	False
636	not	[NO CONTEXT]	Please, Mummy. Everybody else in my class keeps a pet. Please, I'll take care of it. It's a good kitty. It'll not bring you any trouble.	Please, Mummy. Everybody else in my class keeps a pet. Please, I'll take care of it. It's a good kitty. It'll bring you any trouble.	No way. It might belong to somebody else. You can't keep it here.	-51.145050048828125	-50.428192138671875	6.137436151393546e-23	1.256939637278791e-22	-0.71685791015625	0.48828408058487016	False
