particle	target_type	mask_percent	ablation_condition	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_ci_low	context_advantage_per_token_change_from_none_ci_high	run_label	run_label_pretty	run_dir
not	generated	1.0	random_mean	-0.0051241232736623			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	generated	5.0	localized	-0.0191305647544678			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	generated	5.0	random_mean	-0.0299350720545494			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	0.5	localized	0.0053356415891157			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	0.5	random_mean	-0.0005904789311553			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	1.0	localized	0.0065525944610748			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	1.0	random_mean	-0.000898521365149			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	5.0	localized	0.0058570023262319			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
not	gold	5.0	random_mean	-0.0025197063459902			full-final	Full Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_095852/not
just	generated	0.5	localized	-3.701089965370665e-05			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	generated	0.5	random_mean	-7.757180160377719e-05			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	generated	1.0	localized	0.0006535874956382			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	generated	1.0	random_mean	0.0008209443042951			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	generated	5.0	localized	0.0017585672680829			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	generated	5.0	random_mean	0.000613056880961			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	0.5	localized	0.0005407498214752			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	0.5	random_mean	0.0010802606401636			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	1.0	localized	0.0022438491254241			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	1.0	random_mean	0.0028873237832061			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	5.0	localized	0.0139763606130843			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
just	gold	5.0	random_mean	0.0056968302469313			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/just
only	generated	0.5	localized	-0.0008404491432132			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	generated	0.5	random_mean	-0.0001980261703332			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	generated	1.0	localized	-0.001861064801654			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	generated	1.0	random_mean	-0.0002931315721659			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	generated	5.0	localized	-0.0034573970006951			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	generated	5.0	random_mean	-0.0019494308381763			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	0.5	localized	0.0019494173092621			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	0.5	random_mean	0.0010455512685967			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	1.0	localized	0.0006405366982171			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	1.0	random_mean	0.0005915139246938			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	5.0	localized	-0.0056095631391639			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
only	gold	5.0	random_mean	0.0078307345885006			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/only
not	generated	0.5	localized	-0.0017541882553213			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	generated	0.5	random_mean	-0.0003067580998069			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	generated	1.0	localized	-0.0023967211125457			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	generated	1.0	random_mean	0.0003454277781236			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	generated	5.0	localized	0.0013173874281404			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	generated	5.0	random_mean	-0.0008707235032118			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	0.5	localized	-0.0037679169814909			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	0.5	random_mean	0.0001079440542671			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	1.0	localized	-0.0049007264802774			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	1.0	random_mean	0.0046547985524586			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	5.0	localized	-0.0200363729323525			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
not	gold	5.0	random_mean	0.012032327920579			prompt-boundary	Prompt Boundary	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_prompt_boundary/not
just	generated	0.5	localized	0.0016413291550709			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	generated	0.5	random_mean	-0.0005507195597323			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	generated	1.0	localized	-0.0002850182114729			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	generated	1.0	random_mean	-0.0009390870197376			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	generated	5.0	localized	-0.0056447800328777			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	generated	5.0	random_mean	-0.0027132818548119			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	0.5	localized	-0.0009641520668448			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	0.5	random_mean	0.0006915116013428			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	1.0	localized	0.0044728910920168			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	1.0	random_mean	0.0011127719505253			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	5.0	localized	0.0126871131947952			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
just	gold	5.0	random_mean	0.0158288088947489			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/just
only	generated	0.5	localized	-0.0020148727065169			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	generated	0.5	random_mean	-0.0002676433871545			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	generated	1.0	localized	-0.0018164599568271			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	generated	1.0	random_mean	-0.003395222901524			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	generated	5.0	localized	-0.0140371376036453			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	generated	5.0	random_mean	-0.0154203460714377			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	0.5	localized	-0.0022378454625416			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	0.5	random_mean	-9.910861063994932e-05			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	1.0	localized	-0.0022090426889066			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	1.0	random_mean	-0.0007508160809907			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	5.0	localized	-0.0034246304629684			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
only	gold	5.0	random_mean	0.0148926412227733			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/only
not	generated	0.5	localized	-0.0036480396837862			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	generated	0.5	random_mean	-0.0028522340285926			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	generated	1.0	localized	-0.0082722056517624			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	generated	1.0	random_mean	-0.0049699971554018			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	generated	5.0	localized	-0.029678903146702			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	generated	5.0	random_mean	-0.0212632909745051			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	0.5	localized	-0.0006446672663893			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	0.5	random_mean	-0.0009243247607715			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	1.0	localized	-0.0050648943902395			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	1.0	random_mean	-0.0026560218262774			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	5.0	localized	0.0197901132026503			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
not	gold	5.0	random_mean	0.0038769051854759			response-onset	Response Onset	/datastor1/jiahuikchen/Just_LLMs/localization/results/runs/20260518_192214_response_onset/not
