id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-53.85351622104645	-63.92141604423523	-2.4478871009566565	-3.043876954487392	22	21	-37.091973662376404	-36.605395913124084	-1.8545986831188201	-1.8302697956562042	20	20	-392.66225278377533	-398.95431876182556	-3.9662853816542962	-4.070962436345159	99	98	True	True
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-73.65631246566772	-76.82342672348022	-3.2024483680725098	-3.491973941976374	23	22	-56.91322159767151	-56.641133308410645	-2.710153409412929	-2.697196824210031	21	21	-439.0308939218521	-440.3335883617401	-3.9552332785752444	-4.003032621470365	111	110	True	True
235	not	Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-46.28967094421387	-65.62683761119843	-2.3144835472106933	-3.454044084799917	20	19	-24.234161972999573	-30.682926654815674	-1.6156107981999714	-2.045528443654378	15	15	-332.65349793434143	-356.8906067609787	-4.056749974809041	-4.40605687359233	82	81	True	True
244	not	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	-104.06998562812805	-106.05387234687805	-3.4689995209376017	-3.6570300809268295	30	29	-38.20775365829468	-40.11085033416748	-1.910387682914734	-2.005542516708374	20	20	-505.97783291339874	-509.873748421669	-3.804344608371419	-3.862679912285371	133	132	True	True
249	not	Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-48.804187059402466	-58.084399461746216	-2.568641424179077	-3.226911081208123	19	18	-17.387813806533813	-18.062694430351257	-1.241986700466701	-1.290192459310804	14	14	-387.7625423669815	-394.10229313373566	-4.261126839197599	-4.378914368152619	91	90	True	True
272	not	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-51.44299781322479	-47.80510687828064	-2.338318082419309	-2.2764336608705067	22	21	-19.86087155342102	-24.259669542312622	-1.1033817529678345	-1.3477594190173678	18	18	-429.6706442832947	-428.37812852859497	-3.8023950821530503	-3.824804719005312	113	112	True	True
279	not	Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-46.04678237438202	-54.71719682216644	-2.09303556247191	-2.605580801055545	22	21	-68.10073840618134	-65.56359720230103	-2.5222495705993087	-2.428281377863001	27	27	-454.12465620040894	-461.1537014245987	-3.692070375613081	-3.7799483723327763	123	122	True	True
288	not	Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	-163.5877401828766	-160.0861917734146	-4.0896935045719145	-4.104774148036272	40	39	-73.28416156768799	-73.71133470535278	-2.6172914845602855	-2.6325476680483137	28	28	-493.2396626472473	-490.3937785625458	-3.9146004972003756	-3.9231502285003663	126	125	True	True
302	not	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	-61.423035979270935	-71.91722524166107	-2.7919561808759514	-3.424629773412432	22	21	-48.45085525512695	-47.91535758972168	-2.6917141808403864	-2.6619643105400934	18	18	-552.0927135944366	-561.919234752655	-3.3664189853319306	-3.4473572684211966	164	163	True	True
309	not	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	-74.88374757766724	-79.34956789016724	-2.773472132506194	-3.0519064573141246	27	26	-53.85471165180206	-52.064040303230286	-2.564510078657241	-2.4792400144395375	21	21	-447.0343459844589	-449.6913858652115	-3.6642159506922862	-3.7164577344232352	122	121	True	True
319	not	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	-24.679526805877686	-26.44737958908081	-2.0566272338231406	-2.404307235370983	12	11	-57.8879429101944	-73.20562791824341	-3.0467338373786523	-3.8529277851707056	19	19	-379.9813849925995	-391.8969085216522	-4.042355159495739	-4.2139452529209915	94	93	True	True
320	not	It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	-82.74942791461945	-83.9920426607132	-2.955336711236409	-3.1108163948412293	28	27	-69.34316837787628	-64.65136754512787	-3.0149203642554907	-2.810929023701212	23	23	-455.6778019666672	-457.0190769433975	-3.6164904917989458	-3.65615261554718	126	125	True	True
327	not	Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	-20.71625006198883	-22.34462606906891	-1.7263541718324025	-2.031329642642628	12	11	-30.83152973651886	-36.72133815288544	-1.8136193962658154	-2.1600787148756138	17	17	-350.0523804426193	-347.4818562269211	-3.6847618993959927	-3.696615491775756	95	94	True	True
333	not	Dad, what are we doing tonight for fun?__eou__We're going over to Mrs. Smith's place to help her with her yard work.	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	-65.51380097866058	-87.00257050991058	-2.6205520391464234	-3.6251071045796075	25	24	-71.80802762508392	-69.00666332244873	-2.872321105003357	-2.7602665328979494	25	25	-418.45613741874695	-437.0304299592972	-3.703151658572982	-3.9020574103508676	113	112	True	True
355	not	( A stranger stops to help ) Everything OK?	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	-117.29397797584534	-116.88257813453674	-3.909799265861511	-4.030433728777129	30	29	-53.81546592712402	-53.92117249965668	-2.446157542142001	-2.450962386348031	22	22	-462.4830992221832	-461.436199426651	-4.972936550776164	-5.015610863333163	93	92	True	True
360	not	Chinese tea is famous all over the world. I want to buy several boxes.__eou__There are various kinds of tea in China. It depends on the taste and effect.	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	-67.00085771083832	-70.48951232433319	-3.350042885541916	-3.7099743328596415	20	19	-106.17993807792664	-103.45942294597626	-2.949442724386851	-2.8738728596104517	36	36	-479.3227617740631	-484.142901301384	-3.8655061433392186	-3.93612114879174	124	123	True	True
367	not	Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	-49.5529009103775	-52.765013337135315	-2.252404586835341	-2.512619682720729	22	21	-47.42372107505798	-41.49995243549347	-2.6346511708365545	-2.3055529130829706	18	18	-345.8325698375702	-346.1397616863251	-4.322907122969627	-4.381515970712976	80	79	True	True
379	not	What can I do for you?__eou__I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?__eou__I'd like to. How do you like the hat?	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	-61.18687570095062	-53.85057199001312	-3.059343785047531	-2.8342406310533224	20	19	-78.19735527038574	-71.4358149766922	-2.89619834334762	-2.645770925062674	27	27	-484.89046132564545	-479.1324905157089	-3.8791236906051636	-3.86397169770733	125	124	True	True
381	not	Has someone already helped you?	No, not yet. I'd like to buy a teapot.	No, yet. I'd like to buy a teapot.	Which do you like best?	-46.627918124198914	-55.91349196434021	-2.0273007880086484	-2.541522362015464	23	22	-32.083481669425964	-32.15088617801666	-2.138898777961731	-2.1433924118677776	15	15	-334.9008935689926	-344.6252678632736	-4.465345247586568	-4.657098214368562	75	74	True	True
383	not	I need some flowers for my girlfriend.__eou__No problem. Would you like some artificial carnations?	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	-86.45867574214935	-91.78203999996185	-3.32533368239036	-3.671281599998474	26	25	-26.00082838535309	-22.202053666114807	-1.529460493256064	-1.3060031568302828	17	17	-407.76233196258545	-409.4169216156006	-4.203735381057582	-4.264759600162506	97	96	True	True
385	not	Dad, do you know where Mom is?__eou__I think she is in her room putting a little something together for you to take to school with you.	She'd better not start crying like she usually does.	She'd better start crying like she usually does.	I know, but she is going to miss you something awful. Have I told you how proud I am of you?	-48.240662813186646	-54.65169548988342	-2.4120331406593323	-2.8764050257833382	20	19	-72.39047038555145	-78.03390276432037	-2.1936506177439834	-2.3646637201309204	33	33	-430.81407034397125	-441.4646430015564	-3.650966697830265	-3.7732020769363794	118	117	True	True
388	not	Do I have to deposit my handbag at the checkroom?	No, you do not have to. The handbag can be taken with you. There is the cart at the entrance.	No, you do have to. The handbag can be taken with you. There is the cart at the entrance.	Thank you. I'd tike to buy some milk powder for my baby. Is there anything that you can recommend for me?	-78.13923132419586	-85.3365547657013	-2.2982126860057606	-2.5859562050212515	34	33	-100.51177525520325	-101.01780354976654	-2.8717650072915215	-2.8862229585647583	35	35	-456.0721938610077	-463.3824317455292	-4.036037113814228	-4.137343140585082	113	112	True	True
413	not	Can I help you, sir?__eou__I'd like a table for two, please.__eou__Do you have a reservation, sir?	No, I'm afraid not. Can I sit over there? There's a table free by the window.	No, I'm afraid. Can I sit over there? There's a table free by the window.	Sorry, sir. That table has been reserved. This way, please. How about this one, sir?	-46.157644271850586	-63.235565423965454	-1.4889562668338898	-2.1078521807988486	31	30	-67.37986886501312	-66.60376036167145	-2.173544156935907	-2.148508398763595	31	31	-377.89795076847076	-392.52656853199005	-2.9991900854640536	-3.14021254825592	126	125	True	True
420	not	Hello, Can I speak to Tom, please?	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	May I ask what time he will come back?	-46.384275674819946	-60.526769518852234	-2.3192137837409974	-3.1856194483606437	20	19	-37.4406201839447	-38.81947600841522	-1.970558957049721	-2.04313031623238	19	19	-323.2721104621887	-335.1870446205139	-4.040901380777359	-4.242873982538151	80	79	True	True
427	not	Jenny, you should go to bed now.__eou__But it's still early.__eou__Don't stay up late.	But Day. I'm not sleepy.	But Day. I'm sleepy.	Well, honey. Turn off the light, lie down and go to sleep.	-51.943724155426025	-61.013304233551025	-3.0555131856132958	-3.813331514596939	17	16	-70.36398267745972	-65.95572924613953	-2.8145593070983885	-2.638229169845581	25	25	-401.7126054763794	-405.29431772232056	-3.938358877219406	-4.012815026953669	102	101	True	True
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-32.17087924480438	-41.22750806808472	-2.144725282986959	-2.944822004863194	15	14	-32.22000062465668	-23.38286590576172	-1.8952941543915693	-1.3754627003389246	17	17	-333.07462227344513	-333.4685138463974	-3.6601606843235728	-3.7052057094044155	91	90	True	True
467	not	I'm thirsty. Pull over to that store, I'll buy some drinks.	I'm afraid I can't. Parking is not allowed here.	I'm afraid I can't. Parking is allowed here.	Oh, that's too bad. Where can you park around here?	-60.5386358499527	-75.18640196323395	-2.75175617499785	-3.5803048553920926	22	21	-26.43820285797119	-26.386128664016724	-1.1494870807813562	-1.1472229853920315	23	23	-380.8687025308609	-394.5311344861984	-4.139877201422401	-4.335506972375807	92	91	True	True
480	not	Hi Mike. What have you been up to?	Not much. I started exercising.	Much. I started exercising.	Trying to get in shape?	-58.68632936477661	-70.5287709236145	-3.667895585298538	-4.7019180615743	16	15	-22.21310830116272	-22.37500548362732	-1.4808738867441813	-1.4916670322418213	15	15	-318.4128029346466	-330.4302408695221	-4.422400040758981	-4.653947054500311	72	71	True	True
482	not	Mike, I'm afraid I can't come back home for dinner tonight.	Not back home for dinner again? That's the third time this week!	Back home for dinner again? That's the third time this week!	I'm sorry. Our company has just opened. There are always too many things to handle. You know that.	-37.54397785663605	-40.77081739902496	-1.5643324106931686	-1.7726442347402158	24	23	-111.49791836738586	-109.78943610191345	-3.4843099489808083	-3.4309198781847954	32	32	-426.88497841358185	-425.60327887535095	-4.185146847191979	-4.213893850251	102	101	True	True
562	not	Hello? This is Steven. I'd like to speak to Mr. Brown, please.	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	Then what time do you think he will be in?	-52.69876742362976	-62.20298647880554	-2.634938371181488	-3.2738413936213444	20	19	-29.10293936729431	-41.34745144844055	-1.4551469683647156	-2.0673725724220278	20	20	-343.3654452562332	-360.061945438385	-3.8580387107441934	-4.091613016345284	89	88	True	True
569	not	May I help you?__eou__I'm just browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	We're on clearance sale now. Prices have up to twenty percent off. Do miss the chance.	Well, how about fifty percent discount? If so, I'll buy that fur coat.	-110.80821108818054	-119.93095278739929	-3.693607036272685	-4.135550096117217	30	29	-87.8164267539978	-86.88714754581451	-3.252460250148067	-3.218042501696834	27	27	-425.13052237033844	-431.4444910287857	-4.087793484330177	-4.188781466298891	104	103	True	True
576	not	Hi, Kerry. Did your husband make cooking for you?	Oh, please do not mention it any more. Last night he did it for the first time.	Oh, please do mention it any more. Last night he did it for the first time.	Really? Was it delicious?	-83.64048039913177	-83.6054550409317	-2.884154496521785	-2.985909108604704	29	28	-19.352495789527893	-17.93359649181366	-1.2901663859685262	-1.195573099454244	15	15	-396.0565867424011	-394.5301777124405	-4.552374560257484	-4.58756020595861	87	86	True	True
588	not	I'm glad these batteries are on sale.	I'm sorry. These batteries are not on sale.	I'm sorry. These batteries are on sale.	But that's what the ad said.	-45.62840235233307	-54.69337618350983	-2.2814201176166535	-2.878598746500517	20	19	-22.727084040641785	-32.99025857448578	-1.3368872965083403	-1.940603445557987	17	17	-328.69028294086456	-341.87232398986816	-4.268704973257981	-4.498320052498265	77	76	True	True
609	not	Good morning. What can I do for you, sir?__eou__Good morning. I'd like to have a haircut.__eou__Very well. Please sit down here. Do you want me to cut your hair very close?	Please cut the sides shorter, but not so much at the back.	Please cut the sides shorter, but so much at the back.	It's such a hot season, isn't it? May I suggest thinning out the top?	-61.015607953071594	-72.82591784000397	-2.652852519698765	-3.310268992727453	23	22	-79.48512041568756	-79.53573882579803	-2.7408662212306054	-2.742611683648208	29	29	-466.9797457456589	-473.1707909107208	-3.511125907862097	-3.584627203869097	133	132	True	True
617	not	Can you show me how to use chopsticks?__eou__With pleasure.	Oh, it is not easy to learn!	Oh, it is easy to learn!	I think you are a quick learner.	-41.869340777397156	-44.841020464897156	-2.3260744876331754	-2.637707086170421	18	17	-40.19030690193176	-28.574427604675293	-2.364135700113633	-1.6808486826279585	17	17	-331.6547785997391	-328.03844130039215	-3.9958407060209526	-4.0004687963462455	83	82	True	True
658	not	I wonder if you can help me. I'm looking for a room.__eou__Yes. I've got a small room.__eou__How much is it?	200 Yuan a week, but smoking is not allowed.	200 Yuan a week, but smoking is allowed.	OK. Can I see the room now?	-46.1969096660614	-50.08128786087036	-2.199852841241019	-2.5040643930435182	21	20	-38.334272384643555	-37.34640967845917	-2.129681799146864	-2.074800537692176	18	18	-379.2926890850067	-383.28539752960205	-3.5447914867757637	-3.615899976694359	107	106	True	True
669	not	Good evening. Welcome to our restaurant.__eou__Good evening. We want a dinning room with a table for eight.	I'm sorry, sir. The rooms are not available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	I'm sorry, sir. The rooms are available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	No, thanks. We have made a reservation before.	-104.56502115726471	-105.69642221927643	-2.2247876841971217	-2.297748309114705	47	46	-46.67835319042206	-45.32678782939911	-2.333917659521103	-2.2663393914699554	20	20	-437.59854555130005	-436.0105061531067	-3.5007883644104005	-3.5162137592992475	125	124	True	True
677	not	The car isn't running smoothly. I'd like to have a look at it.__eou__What's the matter with it?	I'm not sure. It could be the tires. Let's stop here.	I'm sure. It could be the tires. Let's stop here.	How about the tires?	-90.7432656288147	-112.67952680587769	-3.629730625152588	-4.694980283578237	25	24	-35.431071281433105	-30.467261791229248	-2.5307908058166504	-2.1762329850878035	14	14	-380.778112411499	-399.60119819641113	-3.8854909429744797	-4.1195999814063	98	97	True	True
678	not	Excuse me, do you know where the Post Office is?	Yes, it's not very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Yes, it's very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Is the restaurant on the right or on the left hand side of the road?	-105.1104873418808	-111.30248928070068	-2.62776218354702	-2.853909981556428	40	39	-28.52167785167694	-28.391207814216614	-1.1408671140670776	-1.1356483125686645	25	25	-380.1315724849701	-386.6138333082199	-3.487445619128166	-3.579757715816851	109	108	True	True
686	not	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	-27.34694766998291	-36.81308841705322	-1.7091842293739319	-2.4542058944702148	16	15	-98.06069087982178	-82.90494406223297	-3.5021675314222063	-2.9608908593654633	28	28	-355.6713250875473	-350.9354648590088	-3.556713250875473	-3.544802675343523	100	99	True	True
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-38.633166670799255	-42.484729170799255	-3.219430555899938	-3.862248106436296	12	11	-19.68740153312683	-22.67709994316101	-1.0937445296181574	-1.2598388857311673	18	18	-382.40164494514465	-386.83244156837463	-3.4143004012959346	-3.484976951066438	112	111	True	True
697	not	Hi Steve, it's nice to meet you. I hear that you're looking for an apartment, and I just rented a two-bedroom downtown. I'm looking for a compatible roommate.__eou__Great, I'm looking for a place right in that area. Your apartment sounds ideal.__eou__Alright. So tell me, how would you describe yourself?	I'm pretty social and outgoing, and I like making new friends. But I'm not a party animal, and I like to keep the apartment clean.	I'm pretty social and outgoing, and I like making new friends. But I'm a party animal, and I like to keep the apartment clean.	I'm like that too. I like to invite friends over sometimes, but I don't want to have lots of crazy parties at the apartment.	-69.3848705291748	-87.91950941085815	-1.7346217632293701	-2.254346395150209	40	39	-79.73069655895233	-81.00965440273285	-2.0981762252355876	-2.131833010598233	38	38	-536.7058231830597	-555.787957906723	-2.9168794738209765	-3.0370926661569566	184	183	True	True
698	not	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	-67.15584897994995	-70.61648488044739	-2.919819520867389	-3.2098402218385176	23	22	-68.62870359420776	-70.24867868423462	-2.983856678009033	-3.0542903775754184	23	23	-364.5363748073578	-370.74519300460815	-4.392004515751299	-4.521282841519612	83	82	True	True
702	not	Good coming, sir.__eou__Good morning.__eou__Would you mind moving to the middle of the bus?	Of course not. But I don't know when to get off.	Of course. But I don't know when to get off.	Where are you going?	-47.34796476364136	-50.81110858917236	-2.0586071636365806	-2.3095958449623804	23	22	-9.56006383895874	-9.621652126312256	-0.6828617027827671	-0.6872608661651611	14	14	-359.62860429286957	-363.0083258152008	-3.7855642557144167	-3.861790700161711	95	94	True	True
729	not	Can I help you?	Yes, my brakes are not working well.	Yes, my brakes are working well.	What's wrong with them?	-42.53904604911804	-57.18138003349304	-2.3632803360621133	-3.363610590205473	18	17	-17.101842641830444	-14.487733364105225	-1.1401228427886962	-0.9658488909403483	15	15	-296.0434111356735	-306.1036556959152	-4.290484219357587	-4.501524348469341	69	68	True	True
741	not	I'm looking for a string of pearls for my wife.__eou__Yes, sir. What price range do you have in mind?	I'm not sure. I don't know very much about the price of pearls.	I'm sure. I don't know very much about the price of pearls.	I see. Let me show you some samples of various qualities. This one is very nice. It's three hundred and fifty dollars.	-49.69918096065521	-71.88798201084137	-1.9115069600252004	-2.8755192804336547	26	25	-108.10412049293518	-104.7848607301712	-3.002892235914866	-2.910690575838089	36	36	-426.81350684165955	-435.39772164821625	-3.4984713675545867	-3.598328278084432	122	121	True	True
768	not	Taxi!__eou__Where will you go, sir?__eou__Friendship Hotel.	OK, it's not far from here.	OK, it's far from here.	I have something important to do, can you fast the speed?	-24.314186811447144	-36.19958686828613	-1.350788156191508	-2.1293874628403606	18	17	-66.14741384983063	-63.36886537075043	-3.0067006295377556	-2.880402971397747	22	22	-373.50222635269165	-376.37401056289673	-4.104420069809798	-4.181933450698852	91	90	True	True
789	not	I have learnt how to ride a bicycle. I plan to go to the Water Park by bike this weekend.	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do not hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Oh, my dear sister, I am no longer a baby!	-307.56604158878326	-311.8408523797989	-3.3071617375137987	-3.3895744823891185	93	92	-73.86627447605133	-74.1756294965744	-3.3575579307296057	-3.3716195225715637	22	22	-660.003187417984	-663.7022078037262	-3.928590401297524	-3.974264717387582	168	167	True	True
