id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context
186	just	Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-30.489846229553223	-33.35489749908447	-1.5244923114776612	-1.755520921004446	20	19	-31.389010429382324	-31.359140396118164	-1.307875434557597	-1.3066308498382568	24	24	-188.12397527694702	-190.96410036087036	-2.090266391966078	-2.1456640489985435	90	89	True
244	just	I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	-47.37266159057617	-50.090044021606445	-1.6335400548474541	-1.7889301436288017	29	28	-42.99483394622803	-43.40206241607666	-1.7197933578491211	-1.7360824966430664	25	25	-156.28120136260986	-159.38090419769287	-1.9293975476865415	-1.9922613024711608	81	80	True
272	just	Where's the nearest tailor's?	There is one just around the corner.	There is one around the corner.	The jacket is tight in the shoulders and long in the sleeve. What about the price there?	-10.503833770751953	-10.609317779541016	-0.8753194808959961	-0.9644834345037286	12	11	-59.93769359588623	-59.822744369506836	-2.6059866780820102	-2.600988885630732	23	23	-117.29076290130615	-117.29867744445801	-2.5497991935066553	-2.6066372765435113	46	45	True
302	just	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.	Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.	Wow! So many choices you have! I wish I could, but I can't. I'm on a diet to lose weight.	Come on, just a bite. It doesn't really hurt to have just a bite.	-52.12816047668457	-48.654375076293945	-1.6290050148963928	-1.5694959702030304	32	31	-34.65844535827637	-35.045902252197266	-1.575383879921653	-1.5929955569180576	22	22	-179.2327766418457	-176.17354774475098	-1.8477605839365536	-1.835141122341156	97	96	True
325	just	This book I'm reading about Yoga is really interesting.__eou__I didn't know you did Yoga.	I don't really practice it regularly yet, I'm just learning about it.	I don't really practice it regularly yet, I'm learning about it.	What have you learned?	-30.082942008972168	-33.35576915740967	-1.5041471004486084	-1.7555667977584035	20	19	-10.81461763381958	-10.60350751876831	-1.2016241815355089	-1.178167502085368	9	9	-111.48185110092163	-114.55984544754028	-1.9907473410878862	-2.0829062808643686	56	55	True
351	just	Don't tell me that's your lunch?	No, this is just my appetizer ... this is my lunch!	No, this is my appetizer ... this is my lunch!	A candy bar for an appetizer and a piece of pie for lunch! That's all junk!	-36.42201614379883	-33.43103790283203	-2.023445341322157	-1.9665316413430607	18	17	-52.141998291015625	-51.84260940551758	-2.172583262125651	-2.160108725229899	24	24	-134.8110580444336	-131.50580978393555	-2.451110146262429	-2.435292773776584	55	54	True
355	just	( A stranger stops to help ) Everything OK?__eou__No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	I think that's steam. Your engine's overheated.	Do you know a lot about cars?	-26.597326278686523	-31.157676696777344	-1.564548604628619	-1.947354793548584	17	16	-18.805790424346924	-18.78830623626709	-1.5671492020289104	-1.5656921863555908	12	12	-180.66882371902466	-185.19089031219482	-2.656894466456245	-2.7640431389879825	68	67	True
366	just	How's your new car?__eou__Perfect! Couldn't be better.__eou__You made a good choice, then?	It's just what I want.	It's what I want.	No regrets?	-12.31052017211914	-13.71249771118164	-1.1191381974653765	-1.3712497711181642	11	10	-9.99687671661377	-9.542606353759766	-1.4281252452305384	-1.363229479108538	7	7	-95.53610897064209	-96.48381614685059	-1.873257038640041	-1.9296763229370117	51	50	True
375	just	Dad, can I have a pet? I did what you said and passed all of my exams.__eou__Then I guess you get to have a pet. Do you know what you want?	I want a dog. My friend Mindy's dog just had puppies and she said I can have one.	I want a dog. My friend Mindy's dog had puppies and she said I can have one.	You know who will be responsible for feeding and cleaning and all of that stuff?	-37.670671463012695	-38.904985427856445	-1.448871979346642	-1.556199417114258	26	25	-38.40955924987793	-38.5536322593689	-1.9204779624938966	-1.9276816129684449	20	20	-178.0611515045166	-179.44033193588257	-1.9567159505990834	-1.9937814659542508	91	90	True
394	just	Nathan said he didn't have any fun at his new school this week. Do you know why?	I think he hasn't made any new friends yet. He's just a little lonely.	I think he hasn't made any new friends yet. He's a little lonely.	He really misses his friends from our old neighborhood.	-29.44486427307129	-26.04837989807129	-1.3384029215032405	-1.2403990427652996	22	21	-23.062421798706055	-22.19331455230713	-1.647315842764718	-1.5852367537362235	14	14	-129.38125228881836	-125.04292011260986	-2.1563542048136393	-2.1193715273323708	60	59	True
407	just	What do you think about half day kindergarten for Stacey?__eou__We could try it for the first few weeks and see if she likes it.	I just think it will be a little difficult for her to be away from home for so long right off the bat.	I think it will be a little difficult for her to be away from home for so long right off the bat.	You have a good point. She hasn't really ever been away from home for longer than a few hours.	-43.02203941345215	-38.48528861999512	-1.536501407623291	-1.4253810599998191	28	27	-33.885210037231445	-33.810256004333496	-1.3032773091242864	-1.3003944617051344	26	26	-172.93358993530273	-168.32236576080322	-1.9214843326144748	-1.8912625366382385	90	89	True
454	just	Cathy, I'd like to introduce the new microwave stove of mine to you, because it is easy to use.__eou__OK, it so happened I want to buy one.	This microwave stove has many functions. Let me show you. For example, if you want to cook meat, you just need to put meat in it, and press the button with a picture of meat, that’s OK. After several minutes, you can eat the delicious meat.	This microwave stove has many functions. Let me show you. For example, if you want to cook meat, you need to put meat in it, and press the button with a picture of meat, that’s OK. After several minutes, you can eat the delicious meat.	I think it’s good, and it suits me, because I'm not good at cooking. Is it expensive?	-88.87275314331055	-92.0277214050293	-1.4812125523885091	-1.5597918882208355	60	59	-43.16602420806885	-43.55808353424072	-1.5987416373358831	-1.6132623531200267	27	27	-269.6963186264038	-273.20587062835693	-2.0906691366387893	-2.1344208642840385	129	128	True
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-19.4030122756958	-26.3649263381958	-1.3859294482639857	-2.0280712567842922	14	13	-13.407075881958008	-12.902178764343262	-1.2188250801780007	-1.1729253422130237	11	11	-87.86188983917236	-94.31139945983887	-2.142972922906643	-2.3577849864959717	41	40	True
465	just	Let’s go to Wangfujing by bus.__eou__Better take the subway. It’s faster, and more convenient.__eou__En, where do we pay the fares?	Just go to the ticket office in the subway.	Go to the ticket office in the subway.	Do I have to pay an additional fare to change trains?	-17.617758750915527	-15.283774375915527	-1.2584113393511092	-1.1756749519935021	14	13	-29.700580596923828	-29.7464542388916	-1.8562862873077393	-1.859153389930725	16	16	-160.84633445739746	-158.56103134155273	-2.1446177927652994	-2.1427166397507125	75	74	True
472	just	Hey Michael. Where are you going?	No where special. I was just taking a walk.	No where special. I was taking a walk.	What for?	-21.69410514831543	-24.79615592956543	-1.446273676554362	-1.7711539949689592	15	14	-9.32973861694336	-9.196027755737305	-1.3328198024204798	-1.313718250819615	7	7	-71.62760543823242	-74.57110404968262	-2.1066942775950714	-2.259730425747958	34	33	True
476	just	Hey Michael. Where are you going?	No where special. I was just taking a walk.	No where special. I was taking a walk.	What for?	-21.69410514831543	-24.79615592956543	-1.446273676554362	-1.7711539949689592	15	14	-9.32973861694336	-9.196027755737305	-1.3328198024204798	-1.313718250819615	7	7	-71.62760543823242	-74.57110404968262	-2.1066942775950714	-2.259730425747958	34	33	True
482	just	Mike, I'm afraid I can't come back home for dinner tonight.__eou__Not back home for dinner again? That's the third time this week!	I'm sorry. Our company has just opened. There are always too many things to handle. You know that.	I'm sorry. Our company has opened. There are always too many things to handle. You know that.	You don't have to explain. Suit yourself.	-58.59203910827637	-63.348448753356934	-2.1700755225287542	-2.436478798206036	27	26	-25.062245845794678	-24.98091697692871	-1.7901604175567627	-1.784351212637765	14	14	-172.36066675186157	-176.9579267501831	-2.1817805917957163	-2.268691368592091	79	78	True
492	just	Excuse me, but can you tell me the way to the railway station?	Just go straight along this street, turn left at the first crossing and walk straight ahead about 100 meters. You can’t miss it.	Go straight along this street, turn left at the first crossing and walk straight ahead about 100 meters. You can’t miss it.	About how long will it take me to get there?	-42.34898567199707	-40.44815254211426	-1.3234058022499084	-1.3047791142617502	32	31	-15.56198501586914	-15.402118682861328	-1.0374656677246095	-1.0268079121907552	15	15	-102.31806945800781	-100.24032783508301	-1.5271353650448927	-1.5187928459861062	67	66	True
498	just	I'm hungry. Do we have anything to eat?	Just a few cookies.	A few cookies.	That's fine with me.	-13.566230773925781	-14.845527648925781	-1.5073589748806424	-1.8556909561157227	9	8	-9.571479797363281	-10.267196655273438	-0.9571479797363281	-1.0267196655273438	10	10	-62.43144416809082	-64.35292053222656	-1.8362189461203182	-1.9500885009765625	34	33	True
526	just	Hey! What are you doing here?	I'm just shopping.	I'm shopping.	What are you shopping for?	-12.342065811157227	-12.378198623657227	-1.3713406456841364	-1.5472748279571533	9	8	-8.081952095031738	-7.586267471313477	-0.8081952095031738	-0.7586267471313477	10	10	-52.62172985076904	-52.162353515625	-1.6974751564764208	-1.7387451171875	31	30	True
527	just	Hi, I'd like to get your store credit card.__eou__Here's the application form.__eou__I'm finished. Here's the form.	Thank you. Now if you'll just give me a credit card.	Thank you. Now if you'll give me a credit card.	Here's my VISA.	-25.072461128234863	-25.917798042297363	-1.392914507124159	-1.5245763554292566	18	17	-10.460712432861328	-10.475849151611328	-1.0460712432861328	-1.0475849151611327	10	10	-124.9418363571167	-125.79754543304443	-1.8648035277181596	-1.9060234156521885	67	66	True
557	just	What's wrong with you?__eou__I feel so tired.__eou__I really recommend you go for a run in the morning.	Why? I'd just be dead tired for the rest of the day.	Why? I'd be dead tired for the rest of the day.	On the contrary! It really refreshes you and gets you ready to attack the day.	-25.849039554595947	-24.69507646560669	-1.3604757660313656	-1.371948692533705	19	18	-35.55063080787659	-35.61043977737427	-1.6159377639943904	-1.6186563535170122	22	22	-136.31893277168274	-135.2286295890808	-1.793670168048457	-1.8030483945210776	76	75	True
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-12.84124755859375	-19.14361572265625	-1.1673861416903408	-1.914361572265625	11	10	-63.812997817993164	-64.73035717010498	-2.5525199127197267	-2.589214286804199	25	25	-108.07036781311035	-115.29986095428467	-2.40156372918023	-2.6204513853246514	45	44	True
570	just	I'm looking for some lipsticks. Do you still have some in peach rose?	Oh, yes. That is a beautiful color. It has been a very popular lipstick this season. I have just two left.	Oh, yes. That is a beautiful color. It has been a very popular lipstick this season. I have two left.	Great. I'll take one.	-48.97517013549805	-47.65241622924805	-1.6325056711832682	-1.6431867665257947	30	29	-8.368069648742676	-7.235745429992676	-0.7607336044311523	-0.6577950390902433	11	11	-135.3156499862671	-132.8503179550171	-2.182510483649469	-2.1778740648363457	62	61	True
575	just	Can I see the paper when you're through, Sally?	OK. I just want to read the comics.	OK. I want to read the comics.	Take your time.	-32.10053634643555	-31.104808807373047	-2.2928954533168246	-2.3926776005671573	14	13	-8.545724868774414	-9.007780075073242	-1.0682156085968018	-1.1259725093841553	8	8	-99.74562454223633	-99.23331451416016	-2.6248848563746403	-2.68198147335568	38	37	True
585	just	Could you show me where the ice cream is located?	Just go to the end of the store. And it will be on your right. We have all the ice creams and frozen foods back there in the freezers.	Go to the end of the store. And it will be on your right. We have all the ice creams and frozen foods back there in the freezers.	This is my first time here.	-65.65300178527832	-64.72285652160645	-1.7744054536561709	-1.797857125600179	37	36	-12.319437026977539	-12.408632278442383	-1.1199488206343218	-1.1280574798583984	11	11	-128.11631393432617	-127.30256843566895	-2.033592284671844	-2.05326723283337	63	62	True
622	just	I think we should do the floors before we work on the curtains and walls.__eou__Why? it doesn't make sense. If we do the floors first, and then paint the walls, we will get paint all over our new floor.	Hmm Maybe you're right. But I can't stand all this green carpet here. And besides, I know how to paint. I will just cover everything with drop cloth. I won't get anything on the floor.	Hmm Maybe you're right. But I can't stand all this green carpet here. And besides, I know how to paint. I will cover everything with drop cloth. I won't get anything on the floor.	Are you sure?	-100.4208984375	-98.51935577392578	-2.09210205078125	-2.096156505828208	48	47	-5.72331428527832	-5.9345245361328125	-0.71541428565979	-0.7418155670166016	8	8	-225.46328163146973	-223.77294921875	-2.031200735418646	-2.034299538352273	111	110	True
638	just	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?	-21.843582153320312	-23.673660278320312	-1.985780195756392	-2.3673660278320314	11	10	-15.744941711425781	-16.45734214782715	-1.4313583374023438	-1.4961220134388318	11	11	-79.62941551208496	-82.15645408630371	-2.3420416327083813	-2.4895895177667793	34	33	True
683	just	I think this spring is a good time for us to start looking.__eou__We should plan to move out of here before July. I'm tired of living in apartments.	I know, dear. I am too. But we've just been too busy to look for a house.	I know, dear. I am too. But we've been too busy to look for a house.	We need to find a good realtor.	-44.76786231994629	-40.97475242614746	-1.7218408584594727	-1.6389900970458984	26	25	-15.3959379196167	-15.181270599365234	-1.1843029168935924	-1.1677900461050181	13	13	-167.8966989517212	-163.91115760803223	-2.0987087368965147	-2.0748247798485093	80	79	True
690	just	Hello, are you interested in this Honda?	Hi, I am just looking.	Hi, I am looking.	It's a good car.	-15.090442657470703	-15.893665313720703	-1.3718584234064275	-1.5893665313720704	11	10	-9.850414276123047	-10.760486602783203	-0.9850414276123047	-1.0760486602783204	10	10	-75.84074592590332	-77.56270217895508	-2.2306101742912743	-2.35038491451379	34	33	True
693	just	Miss, may I help you?	Yes, I just wondered why the price between the ninth and tenth floor is so different.	Yes, I wondered why the price between the ninth and tenth floor is so different.	It's because of the view.	-52.312360763549805	-52.896833419799805	-2.377834580161355	-2.5188968295142766	22	21	-8.905342102050781	-8.70902156829834	-0.8095765547318892	-0.7917292334816672	11	11	-98.22552299499512	-98.61318683624268	-2.2323982498862525	-2.2933299264242484	44	43	True
698	just	What is your favorite coffee?__eou__Irish coffee is my favorite. But I'm not particular on it.__eou__All right. Would you make coffee yourself when you are at home?	Not very often. Making coffee is a bit troublesome. Most of the time, I just buy takeout at Starbucks. And also, I quite like instant coffee.	Not very often. Making coffee is a bit troublesome. Most of the time, I buy takeout at Starbucks. And also, I quite like instant coffee.	I think instant coffee is becoming more and more popular. Though its taste is not perfect, it's really cheap and convenient.	-75.44089460372925	-74.47479963302612	-2.038943097398088	-2.0687444342507257	37	36	-52.769808769226074	-52.85447025299072	-1.819648578249175	-1.8225679397583008	29	29	-241.777765750885	-240.8823857307434	-2.1587300513471877	-2.1701115831598505	112	111	True
728	just	Hello, can I help you?__eou__Yes, my engine warning light is on.__eou__How long has it been on for?	Just since today.	Since today.	You can still drive, without problems.	-12.115265369415283	-9.791290760040283	-1.5144081711769104	-1.3987558228628976	8	7	-27.943927764892578	-27.718643188476562	-2.3286606470743814	-2.309886932373047	12	12	-102.67342519760132	-100.15046644210815	-1.8334540213857378	-1.8209175716746937	56	55	True
731	just	Do you eat a lot of healthy food?	Compared with healthy food, unhealthy food just tastes so much better. And anyway, I believe if you live a low stress Life and are active, you can get away with eating whatever you like. It's all in the mind.	Compared with healthy food, unhealthy food tastes so much better. And anyway, I believe if you live a low stress Life and are active, you can get away with eating whatever you like. It's all in the mind.	You have the point. I think cancer is caused by more worry than by the things we consume. Some good things you should try are cranberry juice, wild rice and yoghurt.	-108.59280776977539	-105.58821105957031	-2.171856155395508	-2.1548614501953125	50	49	-124.88356232643127	-124.73891770839691	-2.9734181506293162	-2.9699742311523076	42	42	-273.6688482761383	-270.5075868368149	-2.60636998358227	-2.601034488815528	105	104	True
753	just	This is the menu. What would you like to have?	I don't know what to have. If you don't mind, I'll just leave the choice to you.	I don't know what to have. If you don't mind, I'll leave the choice to you.	With pleasure, sir. May I suggest Steamed stuffed buns and deep-fried twisted dough sticks? They are popular breakfast among Chinese people.	-32.659629821777344	-28.61388397216797	-1.2096159193250868	-1.1005339989295373	27	26	-80.1647596359253	-79.96764373779297	-2.4292351404825845	-2.423261931448272	33	33	-157.85535144805908	-153.60869026184082	-2.0770440980007776	-2.0481158701578774	76	75	True
756	just	Food is less expensive in a cafeteria, because you serve yourself.__eou__How to do it?	Just pick up a tray, then put a knife, a fork, a spoon and a paper napkin on it and stand in the line.	Pick up a tray, then put a knife, a fork, a spoon and a paper napkin on it and stand in the line.	How long will it take to reach the buffet?	-51.43645668029785	-49.43622589111328	-1.5586805054635713	-1.54488205909729	33	32	-23.962671279907227	-24.271995544433594	-1.7116193771362305	-1.7337139674595423	14	14	-162.25997924804688	-160.6596736907959	-2.222739441754067	-2.23138435681661	73	72	True
760	just	Let's decide what to order.__eou__I'll have a hamburger.__eou__The works?	No, just tomatoes, please. And large fries.	No, tomatoes, please. And large fries.	Anything to drink?	-29.0113525390625	-28.9805908203125	-1.9340901692708334	-2.070042201450893	15	14	-7.048833847045898	-7.344081878662109	-0.8811042308807373	-0.9180102348327637	8	8	-103.78819370269775	-104.05268001556396	-2.0350626216215244	-2.081053600311279	51	50	True
788	just	Excuse me. Does this bus go by Tiananmen square?__eou__Yes, it does.__eou__At which stop should I get off?	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you just push the red button near the rear door if you want to get off.	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you push the red button near the rear door if you want to get off.	Okay, thanks very much.	-90.33241367340088	-91.34187412261963	-1.7712237975176643	-1.8268374824523925	51	50	-9.750699996948242	-9.853006362915039	-0.9750699996948242	-0.9853006362915039	10	10	-176.23100566864014	-177.26605129241943	-1.7623100566864014	-1.7905661746709034	100	99	True
814	just	Hi, Mikel. What's with you? You look angry.	Nah, I just check my weight, I'm getting fatter.	Nah, I check my weight, I'm getting fatter.	True, you are getting a really pot belly, aren't you?	-42.49138259887695	-42.144287109375	-2.3606323666042752	-2.4790757123161766	18	17	-39.33490562438965	-39.27499961853027	-2.185272534688314	-2.181944423251682	18	18	-142.4169864654541	-142.00998497009277	-2.637351601212113	-2.679433678680996	54	53	True
820	just	Hello, madam, I am sorry for keeping you waiting so long. Now please follow me and I will show you your table.__eou__Thank you. Is that a window table?	Yes, just as you have ordered.	Yes, as you have ordered.	It's very nice of you.	-17.428632736206055	-15.939151763916016	-1.4523860613505046	-1.4490137967196377	12	11	-11.734182357788086	-12.060387134552002	-1.0667438507080078	-1.0963988304138184	11	11	-125.10431671142578	-123.90149927139282	-1.8672286076332205	-1.877295443505952	67	66	True
870	just	How do you like the food?__eou__It tastes really great. Did you cook it?__eou__Yes. I made it this afternoon. Would you like some more?	OK, just a little though. I'm really full.	OK, a little though. I'm really full.	Oh. Would you like some soup instead?	-26.81104040145874	-30.20581579208374	-1.6756900250911713	-2.013721052805583	16	15	-20.46638298034668	-20.295848846435547	-1.57433715233436	-1.5612191420335035	13	13	-120.50055027008057	-123.72363185882568	-1.673618753751119	-1.7425863642088124	72	71	True
898	just	Can I help you, sir?__eou__Yes. Fill it up, please.__eou__OK. What kind of gas do you want?	I don't really know. I have just bought this new car. And it's the first time I've gotten gas for it.	I don't really know. I have bought this new car. And it's the first time I've gotten gas for it.	We have regular, super, and premium gasoline. This is a new car, so I'd recommend premium.	-49.48925733566284	-53.74546766281128	-1.596427655989124	-1.791515588760376	31	30	-33.31777620315552	-33.61334180831909	-1.2814529308905969	-1.2928208387815034	26	26	-144.4436492919922	-148.93930339813232	-1.536634566936087	-1.6014978860014228	94	93	True
906	just	You sure are buying a lot of things online.__eou__Yes, I ordered a camera and some personal care stuff online yesterday. They will be delivered in two weeks.__eou__What are the advantages of buying online?	Sometimes you can save money and you can find things that you had difficulty finding in a store. sometimes it's just convenient, like doing it late at night and sometimes it's just fun.	Sometimes you can save money and you can find things that you had difficulty finding in a store. sometimes it's convenient, like doing it late at night and sometimes it's fun.	The idea of doing it at night is interesting. Maybe I'll try it some day.	-88.37212491035461	-84.2919590473175	-2.1040982121513006	-2.1072989761829377	42	40	-40.0404167175293	-39.07505798339844	-1.8200189417058772	-1.7761389992453835	22	22	-250.01811265945435	-245.03910994529724	-2.155328557409089	-2.149465876713134	116	114	True
925	just	Hello, I want to order an Easy-own package. What would you recommend?__eou__Which function do you use more, making calls or sending short messages?__eou__About the same. But I'm looking for a job, so I have to answer the phone often.	Then I recommend this package to you. You can receive all the calls free by paying just 10 yuan a month.	Then I recommend this package to you. You can receive all the calls free by paying 10 yuan a month.	That's good. How can I order it?	-55.06387519836426	-53.30111885070801	-1.9665669713701521	-1.9741155129891854	28	27	-14.971117973327637	-14.861573219299316	-1.0693655695234026	-1.0615409442356654	14	14	-232.31365394592285	-230.43170928955078	-2.1916382447728573	-2.1945877075195312	106	105	True
933	just	Switchboard. Which extension would you like?__eou__Extension 1616, please.	I'm afraid the line is busy at the moment. Just hold on, please.	I'm afraid the line is busy at the moment. Hold on, please.	Then, will you try extension 235?	-25.45392894744873	-20.96686840057373	-1.2120918546404158	-1.0483434200286865	21	20	-38.83934020996094	-38.48286533355713	-2.98764155461238	-2.9602204102736254	13	13	-127.06256484985352	-122.2068223953247	-2.1907338767216125	-2.1439793402688547	58	57	True
958	just	Excuse me, which one is of the highest quality here?__eou__This one. It is of the best quality and excellently tailored as well. You may try it on.__eou__That is nice. But I don't quite like the collar.	The collar? It is just the collar that is popular with young people in Shanghai.	The collar? It is the collar that is popular with young people in Shanghai.	I don't care what others wear. How much is it?	-50.611568450927734	-40.402095794677734	-2.410074688139416	-2.0201047897338866	21	20	-23.640647888183594	-24.038591384887695	-1.3906263463637407	-1.414034787346335	17	17	-217.86099529266357	-208.08804035186768	-2.2230713805373834	-2.145237529400698	98	97	True
976	just	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.	-10.396346092224121	-14.961043357849121	-1.15514956580268	-1.8701304197311401	9	8	-15.179559707641602	-16.628585815429688	-1.084254264831543	-1.187756129673549	14	14	-95.5609188079834	-101.57122421264648	-1.6476020484135068	-1.781951301976254	58	57	True
