source_dataset	dataset_role	word	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_file	model_dir	model_label	model_order	condition	condition_label	generated_from_label
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	-0.000576394806099	0.0007473436685709	-0.000576394806099	0.0007473436685709	0.505	0.505	0.5236387828916576	0.5236387828916576	0.0064833465050807	0.0064833465050807	0.5	0.5	0.0059205352248696	0.0059205352248696	50.0	50	33.6865	generation/results/gemma2_it/gemma-2-9b-it_context_just_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0440661293244403	0.0224304630504389	0.0440661293244403	0.0224304630504389	0.67	0.67	0.6874856395602424	0.6874856395602424	0.0368173736662223	0.0368173736662223	0.675	0.675	0.0446128958378266	0.0446128958378266	50.0	50	33.465	generation/results/gemma2_it/gemma-2-9b-it_context_just_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0367750528961382	0.01037358045578	0.0367750528961382	0.01037358045578	0.5626666666666666	0.5626666666666666	0.5971355297765768	0.5971355297765768	0.0454324357964825	0.0454324357964825	0.6333333333333333	0.6333333333333333	-0.0012772982882427	-0.0012772982882427	50.0	50	30.62333333333333	generation/results/gemma2_it/gemma-2-9b-it_context_only_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.064300574406121	0.0272192591115047	0.064300574406121	0.0272192591115047	0.6726666666666666	0.6726666666666666	0.6736280782853553	0.6736280782853553	0.0514012767364363	0.0514012767364363	0.7333333333333333	0.7333333333333333	0.1100139886738818	0.1100139886738818	50.0	50	29.904666666666667	generation/results/gemma2_it/gemma-2-9b-it_context_only_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.2339037193118474	0.093084460441713	0.2339037193118474	0.093084460441713	0.7046666666666667	0.7046666666666667	0.7749631159011799	0.7749631159011799	0.2714301400107367	0.2714301400107367	0.6666666666666666	0.6666666666666666	0.3242225274369253	0.3242225274369253	50.0	50	33.632666666666665	generation/results/gemma2_it/gemma-2-9b-it_context_not_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.3869259368363767	0.1651023414371342	0.3869259368363767	0.1651023414371342	0.7873333333333333	0.7873333333333333	0.8180026329963154	0.8180026329963154	0.360825508572666	0.360825508572666	0.8	0.8	0.4047657979782408	0.4047657979782408	50.0	50	32.906666666666666	generation/results/gemma2_it/gemma-2-9b-it_context_not_generation_condition_summary.tsv	gemma2_it	Gemma 2 9B IT	3	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0138350114506418	0.0099888453407891	0.0138350114506418	0.0099888453407891	0.62	0.62	0.6659147000442495	0.6659147000442495	0.0217813287543434	0.0217813287543434	0.6	0.6	0.0234999157463318	0.0234999157463318	50.0	50	25.8665	generation/results/olmo2/OLMo-2-1124-7B_context_just_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.013929173923068	0.0054750821807167	0.013929173923068	0.0054750821807167	0.5565	0.5565	0.5188135576317121	0.5188135576317121	0.0060586207122906	0.0060586207122906	0.575	0.575	0.0058596615695352	0.0058596615695352	50.0	50	25.996	generation/results/olmo2/OLMo-2-1124-7B_context_just_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0201134835992426	0.0113316853841147	0.0201134835992426	0.0113316853841147	0.616	0.616	0.6246062155260182	0.6246062155260182	0.0215130292007188	0.0215130292007188	0.6	0.6	0.0141395312473683	0.0141395312473683	50.0	50	26.704666666666668	generation/results/olmo2/OLMo-2-1124-7B_context_only_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0190826364651263	0.0115366254534039	0.0190826364651263	0.0115366254534039	0.6173333333333333	0.6173333333333333	0.6029954252697732	0.6029954252697732	0.0162842986602155	0.0162842986602155	0.6666666666666666	0.6666666666666666	0.0271257083055605	0.0271257083055605	50.0	50	26.740666666666662	generation/results/olmo2/OLMo-2-1124-7B_context_only_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0453036658493768	0.0268137795584541	0.0453036658493768	0.0268137795584541	0.6393333333333333	0.6393333333333333	0.7098208029422501	0.7098208029422501	0.0670095536097507	0.0670095536097507	0.6666666666666666	0.6666666666666666	0.0591539497903865	0.0591539497903865	50.0	50	25.762	generation/results/olmo2/OLMo-2-1124-7B_context_not_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0916784283376964	0.0345255533854167	0.0916784283376964	0.0345255533854167	0.6733333333333333	0.6733333333333333	0.6402626561275665	0.6402626561275665	0.0864554883853769	0.0864554883853769	0.7666666666666667	0.7666666666666667	0.0988287003221952	0.0988287003221952	50.0	50	25.84	generation/results/olmo2/OLMo-2-1124-7B_context_not_generation_condition_summary.tsv	olmo2	OLMo 2 7B	4	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0153084884349249	0.0121956995555332	0.0153084884349249	0.0121956995555332	0.662	0.662	0.6636905087549116	0.6636905087549116	0.0167525800320836	0.0167525800320836	0.7	0.7	0.0115574036059578	0.0115574036059578	50.0	50	28.072	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_just_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0275155445255775	0.0147509177525836	0.0275155445255775	0.0147509177525836	0.6915	0.6915	0.6933901555996296	0.6933901555996296	0.0266185033211673	0.0266185033211673	0.725	0.725	0.0353375645937097	0.0353375645937097	50.0	50	27.065	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_just_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0224308656118509	0.0058988613741737	0.0224308656118509	0.0058988613741737	0.5626666666666666	0.5626666666666666	0.5651322565556209	0.5651322565556209	0.0228674393802481	0.0228674393802481	0.4666666666666667	0.4666666666666667	0.0132180874862128	0.0132180874862128	50.0	50	25.799333333333333	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_only_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0462867287394258	0.0324574538639613	0.0462867287394258	0.0324574538639613	0.7686666666666667	0.7686666666666667	0.7683760723587274	0.7683760723587274	0.0443295867627205	0.0443295867627205	0.7666666666666667	0.7666666666666667	0.0483700557306583	0.0483700557306583	50.0	50	25.850666666666665	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_only_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.2471794139993929	0.1696205122130257	0.2471794139993929	0.1696205122130257	0.8833333333333333	0.8833333333333333	0.8855258224145693	0.8855258224145693	0.2420325677512029	0.2420325677512029	0.8666666666666667	0.8666666666666667	0.1988217460410621	0.1988217460410621	50.0	50	25.842666666666663	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_not_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.3151221483823216	0.2041169668946948	0.3151221483823216	0.2041169668946948	0.866	0.866	0.868420542811399	0.868420542811399	0.3091133684234312	0.3091133684234312	0.9	0.9	0.3010861181078693	0.3010861181078693	50.0	50	25.648	generation/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_not_generation_condition_summary.tsv	olmo2_instruct	OLMo 2 7B Inst.	5	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0140586606307015	0.0068206787109375	0.0140586606307015	0.0068206787109375	0.591	0.591	0.6294806642108696	0.6294806642108696	0.0179770106374637	0.0179770106374637	0.5	0.5	0.0132318050090562	0.0132318050090562	50.0	50	25.86	generation/results/qwen3_5/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0156190879552456	0.0066807156517391	0.0156190879552456	0.0066807156517391	0.5725	0.5725	0.5655236074939456	0.5655236074939456	0.0133418625804562	0.0133418625804562	0.5	0.5	-0.0010047780570898	-0.0010047780570898	50.0	50	25.978	generation/results/qwen3_5/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0144016871066706	0.0071972088936048	0.0144016871066706	0.0071972088936048	0.5826666666666667	0.5826666666666667	0.58355614461571	0.58355614461571	0.0139456275095586	0.0139456275095586	0.5333333333333333	0.5333333333333333	0.0231741846169925	0.0231741846169925	50.0	50	25.71066666666667	generation/results/qwen3_5/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0181206474498485	0.0091342163085937	0.0181206474498485	0.0091342163085937	0.606	0.606	0.626658590112034	0.626658590112034	0.0202120703851387	0.0202120703851387	0.6	0.6	0.0028685171957671	0.0028685171957671	50.0	50	25.94933333333333	generation/results/qwen3_5/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0871803175772249	0.0494907924107143	0.0871803175772249	0.0494907924107143	0.7106666666666667	0.7106666666666667	0.7498162201057778	0.7498162201057778	0.1082453077714968	0.1082453077714968	0.6333333333333333	0.6333333333333333	0.1173492121692517	0.1173492121692517	50.0	50	25.676	generation/results/qwen3_5/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.1376680667139402	0.0569555109197443	0.1376680667139402	0.0569555109197443	0.712	0.712	0.7156546771363208	0.7156546771363208	0.143950042080035	0.143950042080035	0.6666666666666666	0.6666666666666666	0.1251991792575021	0.1251991792575021	50.0	50	25.98	generation/results/qwen3_5/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen3_5	Qwen3.5 9B	6	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0203804775896916	0.0099396407781717	0.0203804775896916	0.0099396407781717	0.7015	0.7015	0.7041799300627893	0.7041799300627893	0.0201259375204851	0.0201259375204851	0.7	0.7	0.018987632416817	0.018987632416817	50.0	50	26.843	generation/results/qwen35_instruct/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.018412625439244	0.0087622011541039	0.018412625439244	0.0087622011541039	0.683	0.683	0.6879299543502645	0.6879299543502645	0.0185274233937576	0.0185274233937576	0.725	0.725	0.0181312364711006	0.0181312364711006	50.0	50	26.6435	generation/results/qwen35_instruct/Qwen3.5-9B_context_just_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0348433191054924	0.0225122653775744	0.0348433191054924	0.0225122653775744	0.7793333333333333	0.7793333333333333	0.7843373525930616	0.7843373525930616	0.0349149349139181	0.0349149349139181	0.8666666666666667	0.8666666666666667	0.0462647923052529	0.0462647923052529	50.0	50	25.616	generation/results/qwen35_instruct/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0368442256474981	0.016270097112914	0.0368442256474981	0.016270097112914	0.7433333333333333	0.7433333333333333	0.7398230973325508	0.7398230973325508	0.0365723935239868	0.0365723935239868	0.7666666666666667	0.7666666666666667	0.0326026947964848	0.0326026947964848	50.0	50	25.595333333333333	generation/results/qwen35_instruct/Qwen3.5-9B_context_only_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.2529948622016931	0.1787630847982458	0.2529948622016931	0.1787630847982458	0.946	0.946	0.946954245491318	0.946954245491318	0.252428111240776	0.252428111240776	0.9666666666666668	0.9666666666666668	0.2397348647570618	0.2397348647570618	50.0	50	25.819333333333333	generation/results/qwen35_instruct/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.3229126591510759	0.230406412273137	0.3229126591510759	0.230406412273137	0.944	0.944	0.9460467806063404	0.9460467806063404	0.3225927033635131	0.3225927033635131	1.0	1.0	0.3688556487270627	0.3688556487270627	50.0	50	25.538	generation/results/qwen35_instruct/Qwen3.5-9B_context_not_generation_condition_summary.tsv	qwen35_instruct	Qwen3.5 9B Chat	7	not	not (control)	S' samples
