particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_prompt_boundary_position	corrupted_prompt_boundary_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
only	0	1	5	resid	3	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2685195922851564	0.003956604003906072	0.010525803033931334	0.010525803033931334
only	0	5	34	resid	3	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9923095703125	0.005696614583333259	0.03490836554045588	0.03490836554045588
only	0	9	53	resid	3	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.697654088338216	-0.0030962626139321436	-0.023394116403741914	0.0
only	0	10	0	resid	3	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0655946731567383	-0.0018033981323242188	-0.002923569754426325	0.0
only	0	1	5	resid	4	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2724029541015627	7.324218749982236e-05	0.00019484710591110736	0.00019484710591110736
only	0	5	34	resid	4	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9919840494791667	0.006022135416666519	0.03690312928562436	0.03690312928562436
only	0	9	53	resid	4	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6968421936035156	-0.002284367879231697	-0.017259765962760985	0.0
only	0	10	0	resid	4	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.066103458404541	-0.002312183380126953	-0.0037483843837158247	0.0
only	0	1	5	resid	5	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2676666259765623	0.004809570312500178	0.012794959954860886	0.012794959954860886
only	0	5	34	resid	5	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.99560546875	0.0024007161458332593	0.01471138262062043	0.01471138262062043
only	0	9	53	resid	5	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6954530080159504	-0.0008951822916665186	-0.006763637761081056	0.0
only	0	10	0	resid	5	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0667428970336914	-0.0029516220092773438	-0.004785007080882853	0.0
only	0	1	5	resid	6	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2669662475585937	0.005509948730468839	0.014658185405140134	0.014658185405140134
only	0	5	34	resid	6	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9940592447916667	0.003946940104166519	0.02418651041017241	0.02418651041017241
only	0	9	53	resid	6	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6993592580159504	-0.004801432291666519	-0.03627769344580327	0.0
only	0	10	0	resid	6	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0677037239074707	-0.003912448883056641	-0.00634264670414278	0.0
only	0	1	5	resid	7	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2700576782226562	0.00241851806640625	0.006434013809788628	0.006434013809788628
only	0	5	34	resid	7	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9941813151041667	0.0038248697916665186	0.02343847400573406	0.02343847400573406
only	0	9	53	resid	7	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6856072743733723	0.008950551350911606	0.06762677017082133	0.06762677017082133
only	0	10	0	resid	7	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.063094139099121	0.0006971359252929688	0.0011301583767771778	0.0011301583767771778
only	0	1	5	resid	8	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2697174072265627	0.0027587890624998224	0.007339240989335704	0.007339240989335704
only	0	5	34	resid	8	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9932861328125	0.004720052083333259	0.02892407430494908	0.02892407430494908
only	0	9	53	resid	8	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6828384399414062	0.011719385782877678	0.08854697077416798	0.08854697077416798
only	0	10	0	resid	8	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.057159900665283	0.006631374359130859	0.010750418978002881	0.010750418978002881
only	0	1	5	resid	9	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.262738037109375	0.009738159179687678	0.02590654645682762	0.02590654645682762
only	0	5	34	resid	9	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9908040364583333	0.0072021484375	0.04413414786186265	0.04413414786186265
only	0	9	53	resid	9	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6808026631673176	0.013755162556966294	0.10392848221662956	0.10392848221662956
only	0	10	0	resid	9	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0412955284118652	0.022495746612548828	0.0364688657600663	0.0364688657600663
only	0	1	5	resid	10	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.252313232421875	0.02016296386718741	0.05363978453157512	0.05363978453157512
only	0	5	34	resid	10	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.99072265625	0.007283528645833259	0.04463283879815443	0.04463283879815443
only	0	9	53	resid	10	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6856873830159504	0.008870442708333481	0.06702150145072448	0.06702150145072448
only	0	10	0	resid	10	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.024167537689209	0.03962373733520508	0.06423582122780654	0.06423582122780654
only	0	1	5	resid	11	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.239007568359375	0.03346862792968741	0.08903700877217881	0.08903700877217881
only	0	5	34	resid	11	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.992431640625	0.005574544270833259	0.034160329136017534	0.034160329136017534
only	0	9	53	resid	11	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.685442606608073	0.009115219116210938	0.06887093365101928	0.06887093365101928
only	0	10	0	resid	11	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0231857299804688	0.04060554504394531	0.06582747382547015	0.06582747382547015
only	0	1	5	resid	12	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.238909912109375	0.03356628417968732	0.089296804913394	0.089296804913394
only	0	5	34	resid	12	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.981689453125	0.01631673177083326	0.09998753272659233	0.09998753272659233
only	0	9	53	resid	12	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6819419860839844	0.012615839640299553	0.09532021597525168	0.09532021597525168
only	0	10	0	resid	12	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.006596088409424	0.057195186614990234	0.09272168729089751	0.09272168729089751
only	0	1	5	resid	13	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.237049865722656	0.03542633056640643	0.09424510954060779	0.09424510954060779
only	0	5	34	resid	13	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9653727213541667	0.03263346354166652	0.19997506545318466	0.19997506545318466
only	0	9	53	resid	13	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6858565012613933	0.008701324462890625	0.06574371193051892	0.06574371193051892
only	0	10	0	resid	13	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.9610576629638672	0.10273361206054688	0.16654607521196269	0.16654607521196269
only	0	1	5	resid	14	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2346817016601563	0.03779449462890616	0.10054516596508149	0.10054516596508149
only	0	5	34	resid	14	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9646402994791667	0.03336588541666652	0.20446328387981477	0.20446328387981477
only	0	9	53	resid	14	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.678934097290039	0.015623728434244866	0.11804661529888788	0.11804661529888788
only	0	10	0	resid	14	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.9307804107666016	0.1330108642578125	0.21562988936507052	0.21562988936507052
only	0	1	5	resid	15	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.235731506347656	0.03674468994140634	0.09775235744701599	0.09775235744701599
only	0	5	34	resid	15	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9567464192708333	0.041259765625	0.25283630470016233	0.25283630470016233
only	0	9	53	resid	15	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.677303949991862	0.017253875732421875	0.130363353380858	0.130363353380858
only	0	10	0	resid	15	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.9087400436401367	0.15505123138427734	0.25136051897614764	0.25136051897614764
only	0	1	5	resid	16	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2177413940429687	0.05473480224609384	0.1456116778365478	0.1456116778365478
only	0	5	34	resid	16	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9576009114583333	0.0404052734375	0.24760004986909384	0.24760004986909384
only	0	9	53	resid	16	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6781196594238281	0.016438166300455803	0.12420018061987245	0.12420018061987245
only	0	10	0	resid	16	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8806281089782715	0.18316316604614258	0.2969340395663655	0.2969340395663655
only	0	1	5	resid	17	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2138092041015627	0.05866699218749982	0.15607253183517503	0.15607253183517503
only	0	5	34	resid	17	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9549153645833333	0.0430908203125	0.26405685076673757	0.26405685076673757
only	0	9	53	resid	17	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.680641810099284	0.013916015625	0.10514382337682289	0.10514382337682289
only	0	10	0	resid	17	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8826379776000977	0.1811532974243164	0.29367575122292106	0.29367575122292106
only	0	1	5	resid	18	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2122222900390627	0.06025390624999982	0.16029421912992595	0.16029421912992595
only	0	5	34	resid	18	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9622395833333333	0.0357666015625	0.21917466650043654	0.21917466650043654
only	0	9	53	resid	18	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6808090209960938	0.013748804728190178	0.10388044501662132	0.10388044501662132
only	0	10	0	resid	18	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8602280616760254	0.20356321334838867	0.3300054729967904	0.3300054729967904
only	0	1	5	resid	19	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2107589721679686	0.06171722412109393	0.16418710193345198	0.16418710193345198
only	0	5	34	resid	19	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9615885416666667	0.03641764322916652	0.2231641939907735	0.2231641939907735
only	0	9	53	resid	19	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.679827372233073	0.014730453491210938	0.11129738869780746	0.11129738869780746
only	0	10	0	resid	19	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8600807189941406	0.20371055603027344	0.3302443368397618	0.3302443368397618
only	0	1	5	resid	20	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2059982299804686	0.06647796630859393	0.1768521638177047	0.1768521638177047
only	0	5	34	resid	20	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9584554036458333	0.03955078125	0.2423637950380254	0.2423637950380254
only	0	9	53	resid	20	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6820252736409504	0.012532552083333481	0.09469092865515157	0.09469092865515157
only	0	10	0	resid	20	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8648667335510254	0.19892454147338867	0.3224855135649926	0.3224855135649926
only	0	1	5	resid	21	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.20052490234375	0.07195129394531241	0.19141292566988807	0.19141292566988807
only	0	5	34	resid	21	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9562174479166667	0.04178873697916652	0.25607779578606094	0.25607779578606094
only	0	9	53	resid	21	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.681048075358073	0.013509750366210938	0.10207424629633177	0.10207424629633177
only	0	10	0	resid	21	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8655481338500977	0.1982431411743164	0.3213808649190182	0.3213808649190182
only	0	1	5	resid	22	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1981796264648437	0.07429656982421884	0.1976520923737656	0.1976520923737656
only	0	5	34	resid	22	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.96142578125	0.03658040364583326	0.22416157586335844	0.22416157586335844
only	0	9	53	resid	22	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6835721333821614	0.010985692342122544	0.08300347789328158	0.08300347789328158
only	0	10	0	resid	22	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.86468505859375	0.19910621643066406	0.32278003500244273	0.32278003500244273
only	0	1	5	resid	23	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1943038940429687	0.07817230224609384	0.20796275172825338	0.20796275172825338
only	0	5	34	resid	23	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9567057291666667	0.04130045572916652	0.25308565016830753	0.25308565016830753
only	0	9	53	resid	23	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6818618774414062	0.012695948282877678	0.09592548469534853	0.09592548469534853
only	0	10	0	resid	23	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8639230728149414	0.19986820220947266	0.32401532439101316	0.32401532439101316
only	0	1	5	resid	24	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1857559204101564	0.08672027587890607	0.23070303271401663	0.23070303271401663
only	0	5	34	resid	24	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9591064453125	0.03889973958333326	0.2383742675476871	0.2383742675476871
only	0	9	53	resid	24	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.681292215983073	0.013265609741210938	0.10022961781603662	0.10022961781603662
only	0	10	0	resid	24	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.858182430267334	0.20560884475708008	0.3333217380011503	0.3333217380011503
only	0	1	5	resid	25	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1833648681640625	0.089111328125	0.2370639788590889	0.2370639788590889
only	0	5	34	resid	25	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.958251953125	0.03975423177083326	0.24361052237875552	0.24361052237875552
only	0	9	53	resid	25	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6804790496826172	0.01407877604166674	0.10637357569702022	0.10637357569702022
only	0	10	0	resid	25	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8603992462158203	0.20339202880859375	0.3297279580465421	0.3297279580465421
only	0	1	5	resid	26	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1701309204101564	0.10234527587890607	0.272270415308487	0.272270415308487
only	0	5	34	resid	26	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9593098958333333	0.0386962890625	0.23712754020695695	0.23712754020695695
only	0	9	53	resid	26	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6821873982747395	0.012370427449544419	0.09346598005495557	0.09346598005495557
only	0	10	0	resid	26	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8573131561279297	0.20647811889648438	0.33473095737246683	0.33473095737246683
only	0	1	5	resid	27	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1669601440429687	0.10551605224609384	0.28070567126857654	0.28070567126857654
only	0	5	34	resid	27	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9571533203125	0.04085286458333326	0.25034285001870066	0.25034285001870066
only	0	9	53	resid	27	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.678118387858073	0.016439437866210938	0.12420978805987343	0.12420978805987343
only	0	10	0	resid	27	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8604025840759277	0.20338869094848633	0.32972254689152336	0.32972254689152336
only	0	1	5	resid	28	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1607086181640627	0.11176757812499982	0.29733668362107046	0.29733668362107046
only	0	5	34	resid	28	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9603271484375	0.03767903645833326	0.23089390350330358	0.23089390350330358
only	0	9	53	resid	28	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.674054463704427	0.02050336201985692	0.15491516630478738	0.15491516630478738
only	0	10	0	resid	28	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.8575143814086914	0.20627689361572266	0.3344047420270496	0.3344047420270496
only	0	1	5	resid	29	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1631484985351563	0.10932769775390616	0.2908458394053912	0.2908458394053912
only	0	5	34	resid	29	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9618733723958333	0.0361328125	0.2214187757137516	0.2214187757137516
only	0	9	53	resid	29	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6736431121826172	0.02091471354166674	0.15802317314528408	0.15802317314528408
only	0	10	0	resid	29	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.857151985168457	0.20663928985595703	0.3349922388576588	0.3349922388576588
only	0	1	5	resid	30	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1107574462890626	0.1617187499999999	0.4302224098527682	0.4302224098527682
only	0	5	34	resid	30	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9612223307291667	0.03678385416666652	0.22540830320408856	0.22540830320408856
only	0	9	53	resid	30	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6685161590576172	0.02604166666666674	0.196760371231482	0.196760371231482
only	0	10	0	resid	30	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.855936050415039	0.207855224609375	0.33696344532878175	0.33696344532878175
only	0	1	5	resid	31	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.1076324462890623	0.16484375000000018	0.438535886371663	0.438535886371663
only	0	5	34	resid	31	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9644775390625	0.03352864583333326	0.20546066575239968	0.20546066575239968
only	0	9	53	resid	31	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.669167200724284	0.025390625	0.1918413619506944	0.1918413619506944
only	0	10	0	resid	31	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-1.857248306274414	0.20654296875	0.33483608838426004	0.33483608838426004
only	0	13	3	resid	0	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.0234375	0.00341796875	0.007209062821833162	0.007209062821833162
only	0	15	28	resid	0	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.4150390625	0.0013061523437500888	0.007453848833159685	0.007453848833159685
only	0	17	73	resid	0	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7156588236490884	-0.0006497701009111623	-0.005903555997132164	0.0
only	0	19	96	resid	0	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.8580525716145834	0.0	0.0	0.0
only	0	13	3	resid	1	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.02294921875	0.00390625	0.008238928939237899	0.008238928939237899
only	0	15	28	resid	1	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.41485595703125	0.0014892578125000888	0.008498780912574522	0.008498780912574522
only	0	17	73	resid	1	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7182642618815103	-0.0032552083333330373	-0.029575544721455675	0.0
only	0	19	96	resid	1	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.8580322265625	2.034505208337034e-05	0.00021339023739702718	0.00021339023739702718
only	0	13	3	resid	2	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.021484375	0.00537109375	0.01132852729145211	0.01132852729145211
only	0	15	28	resid	2	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.41495361328125	0.0013916015625001776	0.007941483803553783	0.007941483803553783
only	0	17	73	resid	2	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7146631876627603	0.0003458658854169627	0.003142401626657641	0.003142401626657641
only	0	19	96	resid	2	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.8579915364583334	6.103515625e-05	0.0006401707121899171	0.0006401707121899171
only	0	13	3	resid	3	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.02197265625	0.0048828125	0.010298661174047374	0.010298661174047374
only	0	15	28	resid	3	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.41590576171875	0.0004394531250000444	0.0025078369905958647	0.0025078369905958647
only	0	17	73	resid	3	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7138697306315103	0.0011393229166669627	0.010351440652513118	0.010351440652513118
only	0	19	96	resid	3	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.8585611979166666	-0.0005086263020832593	-0.005334755934915199	0.0
only	0	13	3	resid	4	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.0087890625	0.01806640625	0.03810504634397528	0.03810504634397528
only	0	15	28	resid	4	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.4147216796875	0.0016235351562501332	0.00926506443747899	0.00926506443747899
only	0	17	73	resid	4	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7140299479166665	0.0009791056315107127	0.008895769310753839	0.008895769310753839
only	0	19	96	resid	4	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.8586934407552084	-0.000640869140625	-0.006721792477994129	0.0
only	0	13	3	resid	5	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.00341796875	0.0234375	0.04943357363542739	0.04943357363542739
only	0	15	28	resid	5	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.41513671875	0.0012084960937501776	0.006896551724138945	0.006896551724138945
only	0	17	73	resid	5	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7177556355794272	-0.00274658203125	-0.024954365858730496	0.0
only	0	19	96	resid	5	prompt_boundary	0	prompt_without	62	61	-0.7627105712890625	-0.8580525716145834	-0.858642578125	-0.0005900065104166297	-0.0061883168845021435	0.0
only	0	13	3	resid	6	prompt_boundary	0	prompt_without	52	51	-1.552734375	-2.02685546875	-2.001953125	0.02490234375	0.05252317198764161	0.05252317198764161
only	0	15	28	resid	6	prompt_boundary	0	prompt_without	93	92	-1.24111328125	-1.41634521484375	-1.4147705078125	0.0015747070312501776	0.008986415882968621	0.008986415882968621
only	0	17	73	resid	6	prompt_boundary	0	prompt_without	63	62	-2.604944864908854	-2.7150090535481772	-2.7177505493164062	-0.0027414957682290186	-0.02490815407010187	0.0
