pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id
16	16	38	279	not		Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	"[""Can you give us any other safety tips for people pursuing relationships on the Net?"",""Is the restaurant on the right or on the left hand side of the road?"",""Sorry, sir. That table has been reserved. This way, please. How about this one, sir?"",""If you were to take on a double major, what would be your first choice?"",""Well, we are so tired today. Can you tell me which bus I should take?""]"	[519,48,32,340,973]	[519,48,32,340,973]	5	15	?	13	5		"Speaker 1: Can I also take the MET to get there?
Speaker 2: Yeah sure, it's much quicker. Do you know how?
Speaker 1: No, can I trouble you to lend me a hand?
Speaker 2: Ok, not a problem. Let's go to the station.
Speaker 1: "	"Speaker 1: Can I also take the MET to get there?
Speaker 2: Yeah sure, it's much quicker. Do you know how?
Speaker 1: No, can I trouble you to lend me a hand?
Speaker 2: Ok, a problem. Let's go to the station.
Speaker 1: "	Speaker 1	3
17	17	39	288	not		Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	"[""You have to buy a ticket first. You want to go to Shi Da, right?"",""Which financial magazines and newspapers do you think do the best job of checking facts?"",""Well, we are so tired today. Can you tell me which bus I should take?"",""but don't you think it annoying to overcharge the customers by such a handsome margin?"",""would you like to look at the new digital camcorders that have just come in?""]"	[16,543,973,278,898]	[16,543,973,278,898]	5	15	?	13	5		"Speaker 1: Are you going grocery shopping today?
Speaker 2: I am, as a matter of fact. Do you have any special requests?
Speaker 1: Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...
Speaker 2: "	"Speaker 1: Are you going grocery shopping today?
Speaker 2: I am, as a matter of fact. Do you have any special requests?
Speaker 1: Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...
Speaker 2: "	Speaker 2	4
18	18	46	302	not		Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	"[""The internet's a lot worse."",""So they're easy to remember."",""OK, OK. On one condition."",""Yes, because of fewer people."",""Because it rained last night.""]"	[532,355,84,580,869]	[532,355,84,580,869]	5	5	.	13	5		"Speaker 1: Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.
Speaker 2: Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.
Speaker 1: Come on, just a bite. It doesn't really hurt to have just a bite.
Speaker 2: I'd better not. Please don't tempt me. Please!
Speaker 1: "	"Speaker 1: Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.
Speaker 2: Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.
Speaker 1: Come on, just a bite. It doesn't really hurt to have just a bite.
Speaker 2: I'd better. Please don't tempt me. Please!
Speaker 1: "	Speaker 1	0
19	19	47	309	not		Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	"[""Fortunately, there is a widely-spoken commercial language, namely English."",""Really? I heard it was supposed to be great."",""I understand. I'm interested in the Petty Consumer Loan."",""I like the Brazilians. They are the real champions."",""Well, now we should turn back a few kilometres.""]"	[1088,861,1253,523,171]	[1088,861,1253,523,171]	5	9	.	13	5		"Speaker 1: Would you like a piece of birthday cake?
Speaker 2: No, thanks, I'll pass. It looks very tempting though.
Speaker 1: I thought strawberry cake with cream cheese frosting was your favorite?
Speaker 2: It is. I'm on a diet and strawberry cream cheese cake is not on it.
Speaker 1: "	"Speaker 1: Would you like a piece of birthday cake?
Speaker 2: No, thanks, I'll pass. It looks very tempting though.
Speaker 1: I thought strawberry cake with cream cheese frosting was your favorite?
Speaker 2: It is. I'm on a diet and strawberry cream cheese cake is on it.
Speaker 1: "	Speaker 1	2
20	20	50	319	not		Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	"[""Yeah, I\u2019ll try not to! See you after Christmas."",""Maybe you're right. I have been too lazy lately."",""Fortunately, there is a widely-spoken commercial language, namely English."",""don't worry. I'm not much of a dancer myself."",""Well, I won\u2019t put a crime into their doings.""]"	[958,341,1088,905,172]	[958,341,1088,905,172]	5	9	.	13	5		"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Not bad.
Speaker 1: "	"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Bad.
Speaker 1: "	Speaker 1	2
21	21	51	320	not		It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	"[""Have you been on the bus for a while?"",""Are you more of a leader or a follower?"",""Oh, hey, did you look in the classified ads?"",""How did it grow into such a large place?"",""Good mastery. How do you like our Chinese food?""]"	[326,1069,666,892,2]	[326,1069,666,892,2]	5	9	?	13	5		"Speaker 1: It is my first time coming to China. I want to buy something unique of China to my friends as gifts.
Speaker 2: We have a great variety of Chinese antiques and porcelain. Do you like them?
Speaker 1: Yes, I love them, but they are fragile. It is not convenient to take them.
Speaker 2: "	"Speaker 1: It is my first time coming to China. I want to buy something unique of China to my friends as gifts.
Speaker 2: We have a great variety of Chinese antiques and porcelain. Do you like them?
Speaker 1: Yes, I love them, but they are fragile. It is convenient to take them.
Speaker 2: "	Speaker 2	4
22	22	52	327	not		Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	"[""What happens if you exceed the limits?"",""What can you do when this happens?"",""You don\u2019t like this sort of exercise?"",""Really? Are you going to introduce us?"",""Have you got a sore throat, too?""]"	[1079,527,401,754,1045]	[1079,527,401,754,1045]	5	7	?	13	5		"Speaker 1: Why don't you sit down and relax, darling?
Speaker 2: I don't want to.
Speaker 1: Well, come over and talk to me then.
Speaker 2: Certainly not.
Speaker 1: "	"Speaker 1: Why don't you sit down and relax, darling?
Speaker 2: I don't want to.
Speaker 1: Well, come over and talk to me then.
Speaker 2: Certainly.
Speaker 1: "	Speaker 1	1
23	23	54	333	not		Dad, what are we doing tonight for fun?__eou__We're going over to Mrs. Smith's place to help her with her yard work.	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	"[""Oh, you look stunning. Your dress really goes well with your shoes."",""I am sorry, there is no window seat in the non-smoking room."",""I am sorry for that. We will improve the dishes next time."",""But I put my foot down and insisted on her forgetting that."",""I don't think so. I know I've put on weight this winter.""]"	[469,986,67,645,164]	[469,986,67,645,164]	5	12	.	13	5		"Speaker 1: Dad, what are we doing tonight for fun?
Speaker 2: We're going over to Mrs. Smith's place to help her with her yard work.
Speaker 1: Yard work? I said' what are we doing for fun', not work!
Speaker 2: "	"Speaker 1: Dad, what are we doing tonight for fun?
Speaker 2: We're going over to Mrs. Smith's place to help her with her yard work.
Speaker 1: Yard work? I said' what are we doing for fun', work!
Speaker 2: "	Speaker 2	1
24	24	59	355	not		( A stranger stops to help ) Everything OK?	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	"[""I guess I never thought of that before."",""Right, OK. That, again, shouldn't be a problem."",""Why is that? It is called real art."",""They may have some difficulty in doing it."",""So you can learn a lot from him.""]"	[350,1279,736,706,454]	[350,1279,736,706,454]	5	8	.	13	5		"Speaker 1: ( A stranger stops to help ) Everything OK?
Speaker 2: No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!
Speaker 1: "	"Speaker 1: ( A stranger stops to help ) Everything OK?
Speaker 2: No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!
Speaker 1: "	Speaker 1	0
25	25	60	360	not		Chinese tea is famous all over the world. I want to buy several boxes.__eou__There are various kinds of tea in China. It depends on the taste and effect.	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	"[""Oh, that must be because of my four-year-old daughter. She is always flushing things down the toilet. You know how kids are."",""Right. If the cheque is coming from the US, into a local currency account it will take 7 working days to clear."",""I really miss the change of seasons like we have in Colorado.but I must admit, this sure is a nice spring day."",""I see. Let me show you some samples of various qualities. This one is very nice. It's three hundred and fifty dollars."",""Of course. It's urgent. I think the partie nt is suffering from acute appendicitis. He may die if not treated in time.""]"	[283,1277,670,55,965]	[283,1277,670,55,965]	5	22	.	13	5		"Speaker 1: Chinese tea is famous all over the world. I want to buy several boxes.
Speaker 2: There are various kinds of tea in China. It depends on the taste and effect.
Speaker 1: Well, I do not know Chinese tea at all.
Speaker 2: "	"Speaker 1: Chinese tea is famous all over the world. I want to buy several boxes.
Speaker 2: There are various kinds of tea in China. It depends on the taste and effect.
Speaker 1: Well, I do know Chinese tea at all.
Speaker 2: "	Speaker 2	1
26	26	61	367	not		Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	"[""I never thought about it that way."",""I guess I need all of them."",""Fine. I'll be ready in a minute."",""Maybe I would talk with him someday."",""Thank you. That's very kind of you.""]"	[145,827,69,587,985]	[145,827,69,587,985]	5	7	.	13	5		"Speaker 1: Would you like to see our new shirts?
Speaker 2: Sorry, but I'm not really that interested in those things.
Speaker 1: "	"Speaker 1: Would you like to see our new shirts?
Speaker 2: Sorry, but I'm really that interested in those things.
Speaker 1: "	Speaker 1	4
27	27	65	379	not		What can I do for you?__eou__I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?__eou__I'd like to. How do you like the hat?	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	"[""You are absolutely right. They are too brief. They don't tell you anything."",""Neither am I. It's just that the best-looking girls are in that club."",""I\u2019m so sorry! OK, so you just want a simple message on it."",""We usually recommend that you bring your car in every five thousand kilometers."",""No, but we\u2019Ve got a hurry. It will be the rush hour soon.""]"	[392,857,85,223,157]	[392,857,85,223,157]	5	13	.	13	5		"Speaker 1: What can I do for you?
Speaker 2: I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?
Speaker 1: I'd like to. How do you like the hat?
Speaker 2: It's not special. It can be seen everywhere.
Speaker 1: "	"Speaker 1: What can I do for you?
Speaker 2: I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?
Speaker 1: I'd like to. How do you like the hat?
Speaker 2: It's special. It can be seen everywhere.
Speaker 1: "	Speaker 1	3
28	28	66	381	not		Has someone already helped you?	No, not yet. I'd like to buy a teapot.	No, yet. I'd like to buy a teapot.	Which do you like best?	"[""Can I help you pack?"",""Why are you feeling depressed?"",""I\u2019m Jack. What\u2019s your name?"",""Any marks on his face?"",""What is your greatest weakness?""]"	[910,399,840,205,1046]	[910,399,840,205,1046]	5	5	?	13	5		"Speaker 1: Has someone already helped you?
Speaker 2: No, not yet. I'd like to buy a teapot.
Speaker 1: "	"Speaker 1: Has someone already helped you?
Speaker 2: No, yet. I'd like to buy a teapot.
Speaker 1: "	Speaker 1	4
29	29	67	383	not		I need some flowers for my girlfriend.__eou__No problem. Would you like some artificial carnations?	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	"[""Can I see it for a second?"",""Would you consider it your favorite class?"",""Is there any special brand you'd like?"",""What are you going to do then?"",""May I turn on the TV then?""]"	[1207,342,103,785,421]	[1207,342,103,785,421]	5	7	?	13	5		"Speaker 1: I need some flowers for my girlfriend.
Speaker 2: No problem. Would you like some artificial carnations?
Speaker 1: Oh, no. Carnations are not very elegant. Artificial flowers have no passion.
Speaker 2: "	"Speaker 1: I need some flowers for my girlfriend.
Speaker 2: No problem. Would you like some artificial carnations?
Speaker 1: Oh, no. Carnations are very elegant. Artificial flowers have no passion.
Speaker 2: "	Speaker 2	3
