transfer_label	component	position_label	corruption_mode	top_k	fold_i	fold_j	intersection_count	jaccard	selected_sites_i	selected_sites_j	site_universe_i	site_universe_j	expected_random_intersection	expected_random_jaccard
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	1	0	1	0	0.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	1	1	0	0	0.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	1	1	1	1	1.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	3	0	0	3	1.0	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	3	0	1	1	0.2	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	3	1	0	1	0.2	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	3	1	1	3	1.0	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	5	0	0	5	1.0	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	5	0	1	3	0.42857142857142855	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	5	1	0	3	0.42857142857142855	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	5	1	1	5	1.0	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	10	0	0	10	1.0	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	10	0	1	5	0.3333333333333333	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	10	1	0	5	0.3333333333333333	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	mlp	utterance_final_lexical	prompt_without	10	1	1	10	1.0	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	1	0	0	1	1.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	1	0	1	0	0.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	1	1	0	0	0.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	1	1	1	1	1.0	1	1	32	32	0.03125	0.015873015873015872
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	3	0	0	3	1.0	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	3	0	1	2	0.5	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	3	1	0	2	0.5	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	3	1	1	3	1.0	3	3	32	32	0.28125	0.04918032786885246
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	5	0	0	5	1.0	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	5	0	1	3	0.42857142857142855	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	5	1	0	3	0.42857142857142855	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	5	1	1	5	1.0	5	5	32	32	0.78125	0.0847457627118644
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	10	0	0	10	1.0	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	10	0	1	9	0.8181818181818182	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	10	1	0	9	0.8181818181818182	10	10	32	32	3.125	0.18518518518518517
only_to_exclusive_just	resid	utterance_final_lexical	prompt_without	10	1	1	10	1.0	10	10	32	32	3.125	0.18518518518518517
